#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                6070.86645496872      All      1.1224048767899464         0.01064523432354747       -0.5413682723346986        -0.38629547093689015      
Zeropoint     AB|PS|PS_g                4780.4653395598325    All      -1.0987582015433603        1.220505702213881         0.0823073682081402         0.7591335547888458        
Zeropoint     AB|PS|PS_z                8450.545278795003     All      0.39589874954434834        -0.09086897590560028      0.1716319052345399         -0.15089711870775788      
Zeropoint     AB|PS|PS_i                7353.134085196898     All      0.5795048257910534         -0.14077092426960647      0.28605100798831096        -0.2218523654613229       
Check         All|All|All               All                   All      0.9990502505819879         0.9995110363622217        -0.0013779909037076044     8.859968287489028e-05     
Lambda        AB|PS|PS_r                6070.86645496872      All      -0.00022415459930384828    2.484596960006422e-05     -0.0008740816673019925     4.210142686760245e-05     
Lambda        AB|PS|PS_g                4780.4653395598325    All      -0.00039291127832591144    -6.553549190515351e-06    -0.0006875474311437231     9.51673391103277e-05      
Lambda        AB|PS|PS_z                8450.545278795003     All      0.0003627032912203802      -6.859625197755569e-05    -0.00017305448266783388    -0.0001482110773040486    
Lambda        AB|PS|PS_i                7353.134085196898     All      -0.00012090019651931331    2.8016583066106025e-05    -0.0009509861159256301     6.0689516949863234e-06    
MWEBV         All|All|All               All                   All      -0.6782573149016833        -4.053304681873193        0.07537860152948282        -1.0960001623980362       
Redshift      All|All|All               All                   All      5.486875771246578          0.4995593756605743        8.838470020582653          -1.230112704484098        
