#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6070.86645496872      All      1.0915800360416552         -0.0062587860542251406    -0.6081508726177409       -0.3847412024900687        
Zeropoint     AB|PS|PS_g                4780.4653395598325    All      -1.1175888506177443        1.2566718816195532        0.11831930170200788       0.7786548783617175         
Zeropoint     AB|PS|PS_z                8450.545278795003     All      0.37801335920726475        -0.08972930892996445      0.08457907806029841       -0.14858479949282355       
Zeropoint     AB|PS|PS_i                7353.134085196898     All      0.646208465694686          -0.16077555119595743      0.4007439102456267        -0.2449778831227989        
Check         All|All|All               All                   All      0.9982130103258615         0.9999082354394062        -0.00450858260980791      0.0003509932560263884      
Lambda        AB|PS|PS_r                6070.86645496872      All      -0.00012578209317783883    1.546207287590245e-05     -0.0013210500060643947    -1.2944522728690821e-05    
Lambda        AB|PS|PS_g                4780.4653395598325    All      -0.0006573570864221995     0.0002988748723445991     -0.0007809585517701243    0.00027662561471475297     
Lambda        AB|PS|PS_z                8450.545278795003     All      0.0003070031853863457      -6.075297660435049e-05    -0.0003946976709178232    -0.000137403825050957      
Lambda        AB|PS|PS_i                7353.134085196898     All      -0.0002458067683925        3.695248718452047e-05     -0.0016616345072037863    1.795287559938167e-05      
MWEBV         All|All|All               All                   All      -0.6890437396565532        -4.0529488674803105       0.042914521968939745      -1.0938194913074961        
Redshift      All|All|All               All                   All      5.7953078412373085         -0.8442420642523096       11.580157397394197        -1.6459506000151836        
