#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3763.162489500305    All      -2.645349221434662        0.06996187230043915       -0.8985240034333264       0.8443691548093601       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4506.390802018085    All      3.6365548063183053        0.9303172775888768        0.9003816550575527        -0.8413306977154866      
Check         All|All|All                            All                  All      0.9912055848836433        1.000279149889316         0.001857651624226353      0.0030384570938735145    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3763.162489500305    All      -0.0010407962847528763    5.486990453338086e-05     -0.0026410476716160355    0.0002390366965064691    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4506.390802018085    All      -0.0014692987485920156    -0.0003752662619175226    -0.0014165067132657044    0.0002931501846765771    
MWEBV         All|All|All                            All                  All      -0.2869908364053173       -1.835268409285007        0.06505323146931974       -0.5014219153642974      
Redshift      All|All|All                            All                  All      10.783017193387279        2.412640891911799         6.223482480636994         -2.4487814989016976      
