#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4662.99736630635     All      -0.2873766978511879        0.2933487410405            0.10949415406473219        0.19404760195392712        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4319.556413492161    All      -0.9228828452057712        0.6001069412885585         -0.1287872465842325        0.4903406950202899         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5403.992329278701    All      0.589692322534541          0.27436498626869366        -0.166610981280734         -0.11014757026101232       
Zeropoint     AB|CNIa02|SDSS_r                      6093.143585698409    All      1.1736326705951277         -0.09194740224609532       0.08014307159836384        -0.40866464887043885       
Zeropoint     AB|CNIa02|SDSS_i                      7389.001570696884    All      0.4459032232603942         -0.07862707091206289       0.10658590269819511        -0.16610033404000143       
Check         All|All|All                           All                  All      0.9989686733331037         0.9972461954395939         0.0008249004963246237      -0.0005242561972355897     
Lambda        AB|CNIa02|SDSS_g                      4662.99736630635     All      -2.395925728778719e-06     -4.3708049028415416e-06    -7.4220008776165485e-06    -9.744929297382053e-07     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4319.556413492161    All      -0.0003577309464873371     9.495971051337036e-05      -0.0006317766148904848     0.00011926295138785376     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5403.992329278701    All      8.924288767842606e-05      -3.2819052525071015e-05    -0.0009572010492722836     -8.247507620644949e-05     
Lambda        AB|CNIa02|SDSS_r                      6093.143585698409    All      -0.00010239207139175684    -3.096739069796305e-05     -0.0004816411019208054     1.771938023010889e-06      
Lambda        AB|CNIa02|SDSS_i                      7389.001570696884    All      -5.372293008860303e-05     -2.342943306462565e-05     -0.0003052752526199731     -3.7554438387488378e-06    
MWEBV         All|All|All                           All                  All      -0.8861397545773331        -4.037229778125173         0.007976992986481126       -1.0260577118920822        
Redshift      All|All|All                           All                  All      4.503809443041892          -0.05580790344268394       3.826492736870446          -1.3144585803040145        
