#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4662.99736630635     All      -0.04278881685539358       0.04703640242080809        0.022841606016654747       0.030278345049017386       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4319.556413492161    All      -0.9631110604720217        0.7741502540954848         0.08684595428133379        0.5697587004247717         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5403.992329278701    All      0.3196451679247931         0.4055805049473449         -0.4705003937525709        0.006995694813827225       
Zeropoint     AB|CNIa02|SDSS_r                      6093.143585698409    All      1.134861358752074          -0.1134936644421991        0.0867118606808881         -0.4027607486257301        
Zeropoint     AB|CNIa02|SDSS_i                      7389.001570696884    All      0.5481962305044245         -0.11500223842197954       0.27366755589933733        -0.20381303380071492       
Check         All|All|All                           All                  All      0.9968028798538762         0.9982712585994591         -0.00043341687435694       0.0004589578611713385      
Lambda        AB|CNIa02|SDSS_g                      4662.99736630635     All      -2.9035854920311365e-05    3.1851596358779406e-05     1.6471283959476567e-05     2.0568083772488295e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4319.556413492161    All      -0.0009365952738396819     0.0006500910505293648      -0.00035489674791324707    0.0005009985243990006      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5403.992329278701    All      5.356376465186159e-05      0.00022450127913762607     -0.0010991772434333887     6.628740109247625e-06      
Lambda        AB|CNIa02|SDSS_r                      6093.143585698409    All      0.0004390525949393168      -0.00013494692430858916    -0.0006523931566110034     -0.00021608383768847344    
Lambda        AB|CNIa02|SDSS_i                      7389.001570696884    All      -4.443729459639053e-05     -5.389286831374963e-05     -0.0005314672941435323     -2.6796935835512388e-05    
MWEBV         All|All|All                           All                  All      -0.8732275580060866        -4.048894176831119         0.0025506747866055335      -1.0343052691789145        
Redshift      All|All|All                           All                  All      3.905339182535575          -3.156030328048054         5.423442570028036          -2.0580970288240352        
