#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5454.439256297343     All      0.5350343424096854        0.39965063973843584       -0.1347190106516674       -0.05011081665489511       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4359.879999068647     All      -1.1395860107212217       0.8198610612929258        -0.046796139725183955     0.6361680784598689         
Zeropoint     AB|CNIa02|SDSS_r                      6150.0238236877285    All      1.2040803293634563        -0.1416067700376722       0.009911416859615139      -0.43789225905256063       
Zeropoint     AB|CNIa02|SDSS_i                      7457.9788009120375    All      0.3980639510326863        -0.07930725914420123      0.17317905657686544       -0.14776732228855277       
Check         All|All|All                           All                   All      0.9975926120846061        0.9985976718494882        0.0015753230596292356     0.0003976804638603504      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5454.439256297343     All      5.0569699144340766e-05    -6.772565623349942e-05    -0.0010093597083368987    -8.357577700977047e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4359.879999068647     All      -0.0004592275895809288    0.0001782540531903087     -0.0007130747667923423    0.000175827491765696       
Lambda        AB|CNIa02|SDSS_r                      6150.0238236877285    All      -5.416294363076096e-05    -7.370543833168586e-05    -0.0006017167812216768    -3.3217489813776755e-05    
Lambda        AB|CNIa02|SDSS_i                      7457.9788009120375    All      -3.241473310998426e-05    -2.787769651459414e-06    -8.284678292739694e-05    5.953405276049336e-06      
MWEBV         All|All|All                           All                   All      -0.9164990086029414       -4.077346301357343        0.0343409727446669        -1.028059472146053         
Redshift      All|All|All                           All                   All      4.811330375401436         -0.336055186700257        0.9764894847066139        -1.633096580683025         
