#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CNIa02|Bessell12_V 5454.439256297343 All 2.360080933150212 0.6874289139981915 6.606134992032107 -0.2500363274409193
Zeropoint Linear_AB11_off|CNIa02|Bessell12_B 4359.879999068647 All -1.4112074798510728 0.44949583501550805 -2.290624463003618 0.5038722356466075
Zeropoint AB|CNIa02|SDSS_r 6150.0238236877285 All 1.3414223430078263 0.44011128577088243 4.462343227387095 -0.09445278015795172
Zeropoint AB|CNIa02|SDSS_i 7457.9788009120375 All 0.35413289528174297 -0.055646956786390867 1.1008195273440826 -0.08435425955113829
Check All|All|All All All 2.6444286915887094 1.5213890779981911 9.878673283759667 0.07502886849659823
