#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5712.612744064585     All      0.6772030874928263         0.29566821289819245        -1.1543063053973501       -0.17578984965279182      
Zeropoint     AB|SDSS|SDSS_i            6927.541415198409     All      1.0191300131141934         -0.1026200864588489        1.051307646118009         -0.31847588014816774      
Zeropoint     AB|SDSS|SDSS_g            4371.782447868896     All      -0.857215148195636         0.7512265988168565         -0.24585026221596865      0.5129512251103925        
Zeropoint     AB|SDSS|SDSS_u            3324.6817485959245    All      -0.04645746851145097       0.08184553672485606        0.25230818167877744       0.05305186518771972       
Zeropoint     AB|SDSS|SDSS_z            8236.269272152354     All      0.2040175767068118         -0.023533673417297507      0.11045158235836565       -0.06919198154430399      
Check         All|All|All               All                   All      0.9966780606067445         1.0025865885637586         0.013910842541833432      0.002545378952848648      
Lambda        AB|SDSS|SDSS_r            5712.612744064585     All      -0.00037311402537460706    2.4234277496360894e-05     -0.001332808565150332     6.99522897216197e-05      
Lambda        AB|SDSS|SDSS_i            6927.541415198409     All      -0.0007515535741108425     -4.9704639496227196e-05    -0.00153464570193758      0.0001601310988433768     
Lambda        AB|SDSS|SDSS_g            4371.782447868896     All      -0.0007336754875873331     0.0006998725203276068      -0.000891192552095651     0.0004271839180058097     
Lambda        AB|SDSS|SDSS_u            3324.6817485959245    All      -6.043545024041105e-05     9.835409224894538e-05      0.0003025878492983464     6.522608398802277e-05     
Lambda        AB|SDSS|SDSS_z            8236.269272152354     All      2.0437537174710205e-05     1.254238486441069e-05      3.6914294708587706e-05    -9.243954186394129e-07    
MWEBV         All|All|All               All                   All      -0.7011706811148453        -3.672517766391614         0.3351669389840894        -0.9529085389693644       
Redshift      All|All|All               All                   All      8.701418726236483          -2.65869021534737          13.42865958895063         -3.1011018169047615       
