#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5712.612744064585     All      0.6775928371404566         0.2732172404289912        -1.2336512044160697       -0.1867706227089469        
Zeropoint     AB|SDSS|SDSS_i            6927.541415198409     All      1.0052783853102485         -0.10999961947142367      0.934631419577292         -0.32157443006501085       
Zeropoint     AB|SDSS|SDSS_g            4371.782447868896     All      -0.8293088133506611        0.7369658718300087        -0.18050960727355458      0.5021318791479455         
Zeropoint     AB|SDSS|SDSS_u            3324.6817485959245    All      -0.07087236471206212       0.15682272870165548       0.4267626032816052        0.09321223780563437        
Zeropoint     AB|SDSS|SDSS_z            8236.269272152354     All      0.2135527646406239         -0.05377210733428228      0.07533078945267113       -0.0837148383778144        
Check         All|All|All               All                   All      0.9962428090286058         1.0032341141549495        0.02256400062194408       0.0032842258018078163      
Lambda        AB|SDSS|SDSS_r            5712.612744064585     All      -0.00036401221696596845    -6.295915996051114e-05    -0.00127558943025113      4.1139187316303744e-05     
Lambda        AB|SDSS|SDSS_i            6927.541415198409     All      -0.0007482088919817274     -9.066573732294326e-05    -0.0015322585918647407    0.00014580577445384843     
Lambda        AB|SDSS|SDSS_g            4371.782447868896     All      -0.0007016700127862522     0.0006514979210873915     -0.0009193194508631692    0.00039974630915485        
Lambda        AB|SDSS|SDSS_u            3324.6817485959245    All      -7.278787129346711e-05     0.0001478441495778768     0.0004012860870613955     8.977466280089743e-05      
Lambda        AB|SDSS|SDSS_z            8236.269272152354     All      1.361448429763065e-05      9.186654803595341e-06     2.5055418103825328e-05    -3.2418150287011023e-07    
MWEBV         All|All|All               All                   All      -0.7195779415266306        -3.6573055939477683       0.37820889013142067       -0.9400368190466232        
Redshift      All|All|All               All                   All      8.488104824042939          -2.194274901494353        11.780940761530697        -2.953873238178367         
