#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5175.849170938088     All      1.0755412210108442        0.4732919332425922         1.716457832253493          -0.11957477679137574      
Zeropoint     AB|SDSS|SDSS_z            7462.380069117224     All      0.12366410362973161       -0.016234165329898076      0.286303362726148          -0.032793064581806974     
Zeropoint     AB|SDSS|SDSS_i            6276.621766064627     All      0.9754565013100169        -0.042992942863406824      -0.979312314262093         -0.3754447007255149       
Zeropoint     AB|SDSS|SDSS_u            3012.2908803826067    All      0.040582834855205294      -0.011126269235361974      0.4302372384432651         0.0023561555622671204     
Zeropoint     AB|SDSS|SDSS_g            3961.004810248011     All      -1.2167120763991637       0.5962071391396151         -1.436872928588162         0.5264063922873617        
Check         All|All|All               All                   All      0.9985325844066348        0.9991456949535404         0.01681319057265096        0.0009500057509311821     
Lambda        AB|SDSS|SDSS_r            5175.849170938088     All      -4.027113710496197e-05    0.00014890980677681454     -0.002948548146081938      -6.995770427734496e-05    
Lambda        AB|SDSS|SDSS_z            7462.380069117224     All      -4.09011768662048e-05     9.542746695608881e-06      -0.00021809333535695468    6.698741569352081e-06     
Lambda        AB|SDSS|SDSS_i            6276.621766064627     All      -0.0005167854715746767    -1.3754642943710417e-05    -0.0005018634036711297     0.0001414578313772057     
Lambda        AB|SDSS|SDSS_u            3012.2908803826067    All      8.819893911762274e-05     -1.5731311764478724e-05    0.0008298771278673542      3.1801028129400904e-06    
Lambda        AB|SDSS|SDSS_g            3961.004810248011     All      -0.0011174837016561692    0.0004015286417870381      -0.0015992095648908575     0.0004234269163039609     
MWEBV         All|All|All               All                   All      -0.558362937721403        -3.25157839345529          0.4801636608357862         -0.8558413792180405       
Redshift      All|All|All               All                   All      6.335508911711411         -0.7793723073664438        -1.3123291515732216        -2.376114108418041        
