#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5175.849170938088     All      0.6671395027232168         0.6544509219779115        -0.0391366247374703       -0.005879576004670597      
Zeropoint     AB|SDSS|SDSS_z            7462.380069117224     All      0.1145871772135211         -0.02912238670287337      0.2590424798603535        -0.035251056734699034      
Zeropoint     AB|SDSS|SDSS_i            6276.621766064627     All      1.2193962397368288         -0.1318458356427854       0.09233342002613787       -0.4360235820312813        
Zeropoint     AB|SDSS|SDSS_u            3012.2908803826067    All      -0.0032284434026567596     0.0042717096574662605     0.12976947985757595       0.008234062475769032       
Zeropoint     AB|SDSS|SDSS_g            3961.004810248011     All      -0.9983448974608988        0.49511085886457806       -0.41432572703866316      0.46797821880168733        
Check         All|All|All               All                   All      0.9995495788100113         0.9928652681542971        0.027683027967933815      -0.0009419334931945467     
Lambda        AB|SDSS|SDSS_r            5175.849170938088     All      0.00014669861768121698     0.00027121929186845443    -0.002090910002822593     -5.2747230032396683e-05    
Lambda        AB|SDSS|SDSS_z            7462.380069117224     All      -2.122169350949214e-05     8.436529879918157e-06     -8.085456661147594e-05    6.052491128220877e-06      
Lambda        AB|SDSS|SDSS_i            6276.621766064627     All      -0.0004084735900113605     0.00010106064522914993    -0.0011551414705721122    0.00011442340513750197     
Lambda        AB|SDSS|SDSS_u            3012.2908803826067    All      -3.6696924860759973e-06    3.237466571125818e-06     0.00019539462071344215    1.0969453451121627e-05     
Lambda        AB|SDSS|SDSS_g            3961.004810248011     All      -0.0010913157475815611     0.0004237879445005516     -0.0009271046470689109    0.0004521466955810006      
MWEBV         All|All|All               All                   All      -0.5729394240423877        -3.250191687261328        0.3230989177430748        -0.8576507203544427        
Redshift      All|All|All               All                   All      6.577265757582268          -1.509249372586119        5.98270170951031          -2.3670635166011316        
