#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8410.469718551407    All      0.34458452319878613        -0.08740972866583263      0.08351596502293446       -0.13698780607702826       
Zeropoint     AB|PS|PS_i                7318.262848100518    All      0.6546143831162677         -0.1780610730484078       0.3303496188626631        -0.25648780403273314       
Zeropoint     AB|PS|PS_r                6042.07619749771     All      1.1519936844395595         0.0840494431254335        -0.529844610017105        -0.3715091051747457        
Zeropoint     AB|PS|PS_g                4757.794633660097    All      -1.15232094306227          1.1810697789851332        0.11617202049799547       0.7652463481614427         
Check         All|All|All               All                  All      0.9988716476923429         0.9996484203963263        0.0001929943664880085     0.00026163287693559134     
Lambda        AB|PS|PS_z                8410.469718551407    All      0.0004022727575552046      -6.461600417703462e-05    -5.738430125630518e-05    -0.00015464182768871435    
Lambda        AB|PS|PS_i                7318.262848100518    All      -0.00013772061247675522    7.963193412279139e-05     -0.0011727929347208428    1.8462512880387988e-05     
Lambda        AB|PS|PS_r                6042.07619749771     All      -0.00028107335610977715    3.5428509223914196e-05    -0.0012319355485085424    4.811944468665182e-05      
Lambda        AB|PS|PS_g                4757.794633660097    All      -0.0004332078199503319     4.231793920343311e-05     -0.0009615998587730079    0.00011198259886054167     
MWEBV         All|All|All               All                  All      -0.6941943849327976        -4.023623883903316        0.04557242057270927       -1.0824710349680966        
Redshift      All|All|All               All                  All      7.157135879961331          0.09396868088700217       13.73144640256418         -1.6879345413430085        
