#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8410.469718551407    All      0.3420538377520006         -0.08857680313001381      0.08653278362574092       -0.13640900636002865       
Zeropoint     AB|PS|PS_i                7318.262848100518    All      0.641509772146073          -0.19546279009396983      0.38620323421010144       -0.2553950225254915        
Zeropoint     AB|PS|PS_r                6042.07619749771     All      1.1305454827755053         0.09041720464768588       -0.5288103318539623       -0.3624023757628053        
Zeropoint     AB|PS|PS_g                4757.794633660097    All      -1.114639106996947         1.1925123151639738        0.056131804072436516      0.7540200258367572         
Check         All|All|All               All                  All      0.9994699856766319         0.9988899265876761        5.7490054316551575e-05    -0.0001863788115682441     
Lambda        AB|PS|PS_z                8410.469718551407    All      0.0004252784120760403      -7.654903041828985e-05    -5.290753816177888e-05    -0.00016582272808550287    
Lambda        AB|PS|PS_i                7318.262848100518    All      -7.245330580312476e-05     6.277119278432212e-05     -0.000966698160805202     9.07768911118629e-07       
Lambda        AB|PS|PS_r                6042.07619749771     All      -0.00020330610235726534    9.809760653349043e-05     -0.0011221726027599301    4.809969456437959e-05      
Lambda        AB|PS|PS_g                4757.794633660097    All      -0.00045812087323418885    0.00011604296152046873    -0.000683043466287571     0.00015654295761343987     
MWEBV         All|All|All               All                  All      -0.6816515314000862        -4.035287651699537        0.05914593750196543       -1.0897502041894729        
Redshift      All|All|All               All                  All      6.595663609702382          -0.876823285733952        12.264461133153054        -1.8867282476203144        
