#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5117.74842732446      All      0.3118866764079782        0.7210205088449939        -0.850208987292711         0.09532742709378317       
Zeropoint     AB|SDSS|SDSS_i            6206.164459457344     All      1.541202837007098         -0.19827591795902322      0.8358012717829322         -0.5293074855804103       
Zeropoint     AB|SDSS|SDSS_g            3916.5411256752905    All      -0.9841104714362982       0.48846907502912984       -0.14505915932783164       0.47319428066368574       
Zeropoint     AB|SDSS|SDSS_z            7378.612204787311     All      0.13492106499923073       -0.024121811768296197     0.21272281164983475        -0.04231265523501615      
Check         All|All|All               All                   All      1.0039001069780087        0.9870918541468043        0.05325593681222429        -0.003098433057957539     
Lambda        AB|SDSS|SDSS_r            5117.74842732446      All      0.00011222570934064018    0.00013880506302604444    -0.0014796111437775249     -5.737047980850706e-05    
Lambda        AB|SDSS|SDSS_i            6206.164459457344     All      -6.298915923618899e-05    -5.747333007802291e-05    -0.0010975193328205154     -4.718056007760409e-05    
Lambda        AB|SDSS|SDSS_g            3916.5411256752905    All      -0.0013090768146159534    0.0006602141057317088     0.0004269425183044506      0.0006605153242199909     
Lambda        AB|SDSS|SDSS_z            7378.612204787311     All      -4.163032523595264e-05    -9.221850661135853e-08    -0.00015024706481031228    6.825491482191692e-06     
MWEBV         All|All|All               All                   All      -0.551338205659583        -3.2153274093602136       0.02779173302678295        -0.8665087088846779       
Redshift      All|All|All               All                   All      6.0216780778135846        -0.8043475298112668       4.715923805464173          -2.013011089992267        
