#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5117.74842732446      All      0.6851835922514055         0.5471456360638172        -0.6551750412348875       -0.07420095662435436      
Zeropoint     AB|SDSS|SDSS_i            6206.164459457344     All      1.2255537869918065         -0.04636153148105393      0.2314054752663892        -0.4039781004434414       
Zeropoint     AB|SDSS|SDSS_g            3916.5411256752905    All      -1.0222845688683075        0.5110158891254102        0.17252547274653351       0.5071454227231248        
Zeropoint     AB|SDSS|SDSS_z            7378.612204787311     All      0.11215206528680491        -0.015943413868058087     0.2731715270768061        -0.02953452115483406      
Check         All|All|All               All                   All      1.000604875661709          0.9958565798401153        0.02192743385484136       -0.0005681554995049971    
Lambda        AB|SDSS|SDSS_r            5117.74842732446      All      -9.708277438905133e-05     2.7729491012703835e-05    -0.0025289544653969544    -7.220016168000899e-05    
Lambda        AB|SDSS|SDSS_i            6206.164459457344     All      -0.0003541302575040761     1.4388013701175347e-05    -0.0011858742317896983    6.711840438112794e-05     
Lambda        AB|SDSS|SDSS_g            3916.5411256752905    All      -0.0011358266625452443     0.0004520188960835263     -0.0002926333912632579    0.0005041546527771024     
Lambda        AB|SDSS|SDSS_z            7378.612204787311     All      -2.6023497398874477e-05    4.070457955862092e-06     -9.260294043295549e-05    5.6701473991601526e-06    
MWEBV         All|All|All               All                   All      -0.5640543537930673        -3.2025459122444033       0.04704051070524368       -0.8573443024380187       
Redshift      All|All|All               All                   All      7.481081473473842          -0.10418195147039455      12.16069167893357         -1.928094027664605        
