#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i                             7256.563469525858     All      0.11210178593164752        -0.02021756933805463       -0.0526321160881287        -0.0454494967992755        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4658.180805767937     All      -0.17933161872240005       0.24603690928932664        0.11321412223515527        0.14360875008402052        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7399.6353326170865    All      0.10746922955688806        -0.01685410570964052       0.013874368881053952       -0.03987705105206          
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4264.146694045883     All      -0.19178980434612153       0.1391229146304518         -0.01564359166944439       0.10709105762796724        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6029.796922195482     All      0.30778214766634565        0.005681048041861203       -0.02462606990290689       -0.0995032153749781        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4250.971309864583     All      -0.14498791154894847       0.08532176102393763        -0.044044462804901256      0.07305393523407643        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3484.7635918798765    All      -0.08272096450148234       0.04619098860567661        0.017667183007481664       0.0427792694394736         
Zeropoint     AB|SDSS|SDSS_g                             4579.419292726258     All      -0.1483742428280335        0.09220565060825692        -0.2937598499390489        0.06525563322301           
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6077.777377202501     All      0.28512619258546634        -0.002129731374100885      -0.0003339256318717183     -0.09358360644010869       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7647.76989038792      All      0.067582806826704          -0.008025165944847146      0.05638860707522752        -0.022111639609851786      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R             6173.616696791494     All      0.12112233435036754        -0.0045537337912016085     0.06617770714071214        -0.037983622887065666      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5262.601997272922     All      0.10869354791970084        0.08748619617113818        0.05902425347615785        -0.004273950821605551      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5208.99830564685      All      0.09452751238445173        0.13010329219511618        -0.0641203614808662        0.008726804654001887       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B             4285.251806183401     All      -0.051015858990350355      0.02765704964931004        -0.0032244196974861006     0.02548246356387779        
Zeropoint     AB|SDSS|SDSS_z                             8627.449067912548     All      0.07690174956510584        -0.011760187884224393      0.014261508900470168       -0.02824368427686183       
Zeropoint     AB|SDSS|SDSS_r                             5983.932028638716     All      0.2448515363299228         -0.006855996888699423      -0.3507763668791863        -0.09764296269741718       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7372.350033944138     All      0.1236468376910857         -0.017088398981623953      0.06139723774474777        -0.0431022199028271        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4317.404155999464     All      -0.13123384336281943       0.09437009680430819        0.03387610221784752        0.07499836031627777        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V             5218.466324690941     All      0.03315185178172406        0.023206664028396773       0.0703116798978834         -0.0001017874942401494     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I             7972.959266526084     All      0.024581792276502815       -0.00217115249538935       0.022285109018193305       -0.007719832194266998      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6172.421014776434     All      0.20774655950744916        0.0014892082878859014      0.1574270205268352         -0.06015956006755272       
Zeropoint     AB|SDSS|SDSS_u                             3482.586776274012     All      -0.07289766716703366       0.038228710928756016       -0.02675634346859296       0.035003504573482884       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5221.5010995328175    All      0.08235449987071555        0.06879665896724063        0.18968546556943902        0.004048556312553169       
Check         All|All|All                                All                   All      0.9952884727768884         0.9962411068238808         -0.00032714187122862004    0.0002957054106300268      
Lambda        AB|SDSS|SDSS_i                             7256.563469525858     All      -6.722891271530389e-06     -1.6462270848743484e-05    -0.00018225382166817776    -1.1305587343893632e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4658.180805767937     All      -6.342661033545915e-05     -5.3462234750911144e-05    -0.0003403763456563844     -1.1943708068526604e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7399.6353326170865    All      -3.514632361455662e-05     -5.5489492001057835e-06    -0.00012850487445239118    3.906256226212783e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4264.146694045883     All      -0.00013039385437408683    4.965319778724603e-05      -0.00018952243011841088    5.018973264987315e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6029.796922195482     All      -4.1634185505104206e-05    -1.31265160541532e-05      -0.0002454646468731764     -1.6680739969622695e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4250.971309864583     All      -0.00010997432981977421    4.909120219479327e-05      -0.00012041092965000724    4.643949011482622e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3484.7635918798765    All      -0.00014898046331347694    5.51195588635337e-05       -2.8696177433771117e-05    6.520151331224235e-05      
Lambda        AB|SDSS|SDSS_g                             4579.419292726258     All      -7.71935438321171e-05      3.185835067999986e-05      -0.00020609839818640615    2.6324564808006294e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6077.777377202501     All      -5.4935312693846505e-05    -7.773202783246051e-06     -0.0001560337902569765     8.39917936332074e-06       
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7647.76989038792      All      -1.9830639078864676e-05    2.1378660103426494e-06     -1.972484799230239e-05     6.275635476958273e-06      
