#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5824.821592501152     All      1.1485664763370145         0.1799465930579558        0.18467352777700205        -0.307270231261762         
Zeropoint     AB|SDSS|SDSS_z            6925.227324203987     All      0.20048143054506318        0.036335849763879935      0.34280878810219184        -0.03816963414045048       
Zeropoint     AB|SDSS|SDSS_r            4803.284176435579     All      0.6955667327772457         0.35692566835230366       -0.5865906831984378        -0.1364833837208886        
Zeropoint     AB|SDSS|SDSS_g            3675.8860429468773    All      -1.0457917743973926        0.4258078339329785        0.06510057911701887        0.4822535464721181         
Check         All|All|All               All                   All      0.998822865261931          0.9990159451071179        0.005992211797775024       0.0003302973490169614      
Lambda        AB|SDSS|SDSS_i            5824.821592501152     All      -0.00022003546753213805    -3.573762514797207e-05    2.5437916256221584e-05     6.116704785383334e-05      
Lambda        AB|SDSS|SDSS_z            6925.227324203987     All      -9.49940911421373e-05      -1.76381320054298e-05     -0.00016352780769314488    1.789988582499891e-05      
Lambda        AB|SDSS|SDSS_r            4803.284176435579     All      -0.0001008918262150555     -3.087682224405545e-05    -0.0008669238871278709     -1.5880641226553182e-05    
Lambda        AB|SDSS|SDSS_g            3675.8860429468773    All      -0.0018709506150552742     0.0005324371725383987     -0.0018960500264782161     0.0006982504670899536      
MWEBV         All|All|All               All                   All      -0.548459311304522         -2.889189279570026        0.20096438336513936        -0.7534846409591139        
Redshift      All|All|All               All                   All      5.006987955167438          -0.6562630852235074       0.6352474502984888         -1.8163590031596264        
