#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7081.435459336408     All      0.12844525876916468        0.009642941630083612       0.18604277754503698        -0.030395588474075245      
Zeropoint     AB|SDSS|SDSS_i            5956.2085457154635    All      1.3981178027303538         0.09242895445567001        -0.2799141132521642        -0.43779709504567765       
Zeropoint     AB|SDSS|SDSS_g            3758.800765720115     All      -0.9714968118016187        0.46436692799520785        -0.17572185735523585       0.4598663991332767         
Zeropoint     AB|SDSS|SDSS_r            4911.628932295028     All      0.441858758228293          0.43266250047153676        0.2737431150209681         0.00922037426746463        
Check         All|All|All               All                   All      0.9969250079261927         0.9991013245524982         0.0041499219586050295      0.0008940898809884287      
Lambda        AB|SDSS|SDSS_z            7081.435459336408     All      -5.3968499556394524e-05    -4.836250122990915e-06     -0.00010133683672205471    1.148179244380525e-05      
Lambda        AB|SDSS|SDSS_i            5956.2085457154635    All      -0.0002304355018241163     -1.0695972355756947e-05    -1.609294901456934e-06     7.150457852340709e-05      
Lambda        AB|SDSS|SDSS_g            3758.800765720115     All      -0.001680987905575061      0.0006774754567406858      -0.0009740624847124961     0.0007247611732606303      
Lambda        AB|SDSS|SDSS_r            4911.628932295028     All      -8.837447586397101e-05     -8.035635456130118e-05     -0.001281447014784326      -5.4573328899929265e-05    
MWEBV         All|All|All               All                   All      -0.5363726794717039        -3.010433793807721         0.06530383044574736        -0.8029688891091041        
Redshift      All|All|All               All                   All      5.007931482913556          -0.1549066280331246        6.419634213517009          -1.39522743442829          
