#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7081.435459336408     All      0.16104442511579864        0.032202726681163085      0.44741857283776554       -0.022001743959564057     
Zeropoint     AB|SDSS|SDSS_i            5956.2085457154635    All      1.4727086368795503         0.13427408632793458       0.8720171610726801        -0.3970580454347422       
Zeropoint     AB|SDSS|SDSS_g            3758.800765720115     All      -1.1317828730347987        0.38590811176302253       -1.4096513747012374       0.43145561774063573       
Zeropoint     AB|SDSS|SDSS_r            4911.628932295028     All      0.4959695324683698         0.44737689551617166       0.09879099761844756       -0.011419632012531211     
Check         All|All|All               All                   All      0.9979397214289201         0.9997618202882919        0.008575356827655867      0.0009761963337982515     
Lambda        AB|SDSS|SDSS_z            7081.435459336408     All      -5.019467820373669e-05     -7.432543760597463e-07    -0.000112545161446261     1.108558199007791e-05     
Lambda        AB|SDSS|SDSS_i            5956.2085457154635    All      -0.00031962238556210854    -8.992770590790407e-05    -0.000893517654364719     3.494552475773223e-05     
Lambda        AB|SDSS|SDSS_g            3758.800765720115     All      -0.001722203831301788      0.0007284742538805282     -0.001263107544624867     0.0007418997887845959     
Lambda        AB|SDSS|SDSS_r            4911.628932295028     All      -0.0002642188576923388     -9.999414224127685e-05    -0.0019360627769646273    -3.290419706615376e-05    
MWEBV         All|All|All               All                   All      -0.5395149599898295        -3.0133806411850372       0.06578681234943318       -0.8028836768414773       
Redshift      All|All|All               All                   All      5.7651906808850795         -0.14242450164303477      8.180795429150045         -1.5592332927474133       
