#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5842.911100552398    All      1.002030856372836          0.11109669994322502       -0.7187737062514188        -0.3222821349140245       
Zeropoint     AB|SDSS|SDSS_g            3687.301838111309    All      -1.1482788676269047        0.3432623607146468        -0.9869682333458363        0.4418001890466358        
Zeropoint     AB|SDSS|SDSS_z            6946.7342413599      All      0.1715873981763927         0.026060500763591676      0.30907457416576856        -0.03361031946322174      
Zeropoint     AB|SDSS|SDSS_r            4818.201208039416    All      0.9722905480856437         0.5180325153524734        1.4008524549272816         -0.08545317472577613      
Check         All|All|All               All                  All      0.9976299350079676         0.9984520767739369        0.004185089495795102       0.00045455994361343066    
Lambda        AB|SDSS|SDSS_i            5842.911100552398    All      -0.0002014197611471374     -9.260496147617874e-06    0.0006878736958327876      9.328923821778874e-05     
Lambda        AB|SDSS|SDSS_g            3687.301838111309    All      -0.001792387905589396      0.00039313564721462865    -0.0028448898327844614     0.000584942555606695      
Lambda        AB|SDSS|SDSS_z            6946.7342413599      All      -4.6847171600963264e-05    -3.697382816818386e-06    -2.1721928382777932e-05    1.3085955894366222e-05    
Lambda        AB|SDSS|SDSS_r            4818.201208039416    All      -0.0002658136318352944     -9.50538324430426e-05     -0.001013390716161913      1.0399111165495024e-05    
MWEBV         All|All|All               All                  All      -0.5819397050559272        -2.9091931887878175       0.061022519575493206       -0.7553398692345433       
Redshift      All|All|All               All                  All      4.019310921031723          -0.36740529225127716      -0.9968825153041927        -1.473384077485236        
