#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5842.911100552398    All      1.1101865836787952         0.07531390225796741       -1.221736777677999         -0.39161257979241487      
Zeropoint     AB|SDSS|SDSS_g            3687.301838111309    All      -1.0976042554432914        0.37598855572262835       -0.6966386922066422        0.44890987307283714       
Zeropoint     AB|SDSS|SDSS_z            6946.7342413599      All      0.16492373940020733        0.016686723095737932      0.20921070340354253        -0.038949560240450834     
Zeropoint     AB|SDSS|SDSS_r            4818.201208039416    All      0.8198879634620365         0.5308736971924688        1.7165783287981782         -0.01753844795577112      
Check         All|All|All               All                  All      0.9973940310977475         0.9988628782688025        0.0074135623170796805      0.0008092850842003133     
Lambda        AB|SDSS|SDSS_i            5842.911100552398    All      -0.00016597520637741972    1.2314470233900186e-05    0.0007114589466197791      8.982395840333214e-05     
Lambda        AB|SDSS|SDSS_g            3687.301838111309    All      -0.0019099699884591438     0.0005588386403892033     -0.001962639426222164      0.0007165886082918277     
Lambda        AB|SDSS|SDSS_z            6946.7342413599      All      -8.685736884543453e-05     -1.066685531970413e-05    -0.00014924455506941378    1.8157657811472542e-05    
Lambda        AB|SDSS|SDSS_r            4818.201208039416    All      -0.00011358354747099294    -4.904433594308573e-05    -0.0008381372388161373     -1.637967107162984e-05    
MWEBV         All|All|All               All                  All      -0.555268598169171         -2.9194901299986142       0.029257108339949472       -0.768799123122759        
Redshift      All|All|All               All                  All      4.610250916182119          -0.8051604599462081       1.0284013567995085         -1.718084817669966        
