#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7243.877860967935    All      0.6988135917607792         -0.1260000772211889        1.1282329986527895        -0.21832109060799215       
Zeropoint     AB|PS|PS_z                8324.983217891511    All      0.25557094402185465        -0.047292103260332397      0.30483868969195527       -0.08504890775061537       
Zeropoint     AB|PS|PS_r                5980.662748769013    All      1.1722348282185884         0.06183023342067884        -1.5612076557534271       -0.4313648350606284        
Zeropoint     AB|PS|PS_g                4709.435002426554    All      -1.1271408240292864        1.1180939801088918         0.20385568850933566       0.74044398484168           
Check         All|All|All               All                  All      0.9994785399719356         1.0066320330480494         0.07571972110065328       0.005709151422444103       
Lambda        AB|PS|PS_i                7243.877860967935    All      -0.0003835224575286937     1.6743568302889186e-05     -0.0018951838128165475    4.580646367287164e-05      
Lambda        AB|PS|PS_z                8324.983217891511    All      0.00028231454815896736     -5.1995831818809165e-05    0.0001689406083102099     -0.00010135684581083967    
Lambda        AB|PS|PS_r                5980.662748769013    All      -0.00032158651085433725    -3.067751647428588e-05     -0.0010760762502184905    4.673828928342612e-05      
Lambda        AB|PS|PS_g                4709.435002426554    All      -0.00023585415705878012    -3.691733913982755e-05     -0.0009085814278545757    2.425445026152303e-05      
MWEBV         All|All|All               All                  All      -0.6851493550740626        -3.964991091114012         0.20728114297181577       -1.0591023516132934        
Redshift      All|All|All               All                  All      7.523672405287518          0.6464761663873553         17.7460031011869          -1.4482064540838948        
