#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7243.877860967935    All      0.6405313131852394         -0.145655791624133         0.420005872013552         -0.23734407177313216       
Zeropoint     AB|PS|PS_z                8324.983217891511    All      0.3206965312152941         -0.07690785209115703       0.13633462323654957       -0.12342884036581235       
Zeropoint     AB|PS|PS_r                5980.662748769013    All      1.1581341180554787         0.07299629999382162        -0.6916296263200956       -0.38432934099918903       
Zeropoint     AB|PS|PS_g                4709.435002426554    All      -1.1200656045031625        1.1480283619230924         0.13819871485541807       0.7449599968604063         
Check         All|All|All               All                  All      0.9992963579528498         0.998461018201624          0.002909583785423997      -0.00014225627772723737    
Lambda        AB|PS|PS_i                7243.877860967935    All      -0.0002696820991332017     6.194850547925632e-06      -0.0013177380437661783    3.1057601851843933e-05     
Lambda        AB|PS|PS_z                8324.983217891511    All      0.00027504325968701364     -7.18778480324382e-05      5.45036650356045e-05      -0.00011057136990539872    
Lambda        AB|PS|PS_r                5980.662748769013    All      -0.00021185370416450453    -2.682759709862765e-05     -0.0009639741075607475    1.725135320197214e-05      
Lambda        AB|PS|PS_g                4709.435002426554    All      -0.00024027730235967306    -1.8771410794019823e-05    -0.000539819592537903     4.806208709705554e-05      
MWEBV         All|All|All               All                  All      -0.686074447380792         -3.973696627556489         0.06871134661935123       -1.067820431820471         
Redshift      All|All|All               All                  All      6.595073200509329          0.5485062024891185         12.588701548024837        -1.407789865127299         
