#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6035.008758569803     All      1.0841313122260603         0.3034309911678079         0.08053811044011673       -0.2507057328755558        
Zeropoint     AB|PS|PS_i                7309.7026489162145    All      0.67259303985964           -0.28058856894537243       0.16383489503548473       -0.3031714098322968        
Zeropoint     AB|PS|PS_z                8400.631960941615     All      0.35648172086630714        -0.17037725111581636       -0.07697225192919468      -0.1750502184027437        
Zeropoint     AB|PS|PS_g                4752.229423638608     All      -1.1133765614218782        1.1428154030490134         -0.16740948216412704      0.7274452330340085         
Check         All|All|All               All                   All      0.9998295115301293         0.9952805741556325         -8.728617720249465e-06    -0.0014821280765877631     
Lambda        AB|PS|PS_r                6035.008758569803     All      -0.00027628299758471615    0.00010159602184168876     -0.001171456795575583     7.08108919975733e-05       
Lambda        AB|PS|PS_i                7309.7026489162145    All      -3.7863049037873114e-06    -8.030199483511799e-05     -0.0009736698023276593    -6.837408887629317e-05     
Lambda        AB|PS|PS_z                8400.631960941615     All      0.0005145291877068673      -0.00020908514636786333    -7.434741141749389e-05    -0.00023902277831886886    
Lambda        AB|PS|PS_g                4752.229423638608     All      -0.0006213555032382647     0.0006275360229849783      -0.000627022004760994     0.0003788239451371293      
MWEBV         All|All|All               All                   All      -0.6679771547544027        -4.074729261201782         -0.034052960323912675     -1.1112108671048062        
Redshift      All|All|All               All                   All      8.47621191267763           -3.59160744574476          13.159932942296665        -3.3436184186735334        
