#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7443.243769720038     All      0.4956568595920091         -0.07619117462702718      0.40757354053664524       -0.16808158279007032      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4321.6386012107405    All      -0.34832478912144665       0.36890500330439835       0.27133541171032705       0.2457337927785537        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5415.810624195778     All      0.5069011369434575         0.24315910881416158       -0.7878018160468472       -0.12106543222401109      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4653.107941711912     All      -0.9889486669780452        0.6097447565021952        -0.24538209469244163      0.5097967675919791        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6133.818054056846     All      1.3342324461711936         -0.1484103594812325       0.35648371280269064       -0.46703730846855296      
Check         All|All|All                      All                   All      0.9995169866071684         0.9972073345124954        0.0022087543103740392     -0.0006537631121015242    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7443.243769720038     All      1.343850578930174e-05      3.096066587266006e-05     -0.0001481771389977534    -9.049211593921497e-07    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4321.6386012107405    All      -8.047099409257183e-05     8.573262191868402e-05     6.289743440338145e-05     5.69448092913743e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5415.810624195778     All      -2.3391444961644672e-05    0.0001858468160749065     -0.0023897268507486074    -3.848674837654986e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4653.107941711912     All      -0.0005558133859958673     -7.380165313971143e-05    -0.0016659497408883408    8.266339360079907e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6133.818054056846     All      -0.00015472021965196763    8.907907663705966e-05     -0.0006742129740485623    4.9326423076343404e-05    
MWEBV         All|All|All                      All                   All      -0.8541063554058068        -4.042156952040354        0.06817415196311603       -1.0354106637835832       
Redshift      All|All|All                      All                   All      8.841838030222018          -0.8774288797703811       17.327591737487616        -2.392634150474461        
