#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7443.243769720038     All      0.5314892524954105         -0.07071235812299292      0.43008342435467417        -0.1769642284957046        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4321.6386012107405    All      -0.35357418197804813       0.44124811294379285       0.1631578086920188         0.2661807539780611         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5415.810624195778     All      0.4453017038300965         0.30245668135746584       -0.8164477097022671        -0.08296363475630009       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4653.107941711912     All      -1.0151477371764814        0.5398803702750143        -0.37783807765128796       0.4896626354440617         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6133.818054056846     All      1.3890629752476862         -0.2169030948870443       0.6002167524995883         -0.4963310667890186        
Check         All|All|All                      All                   All      0.9971320124186638         0.9959697115662358        -0.0008278018072738202     -0.00041554061890047844    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7443.243769720038     All      2.1408272251090876e-05     9.995560652758696e-06     -0.00010480595262936047    -8.394503944154582e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4321.6386012107405    All      -0.00011033425117656725    0.0001383870981117236     4.7845135258329446e-05     8.315183479435896e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5415.810624195778     All      3.824222193198676e-05      0.0002733137171026485     -0.002387395436852009      -2.9967973836502787e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4653.107941711912     All      -0.0005651114456697808     -0.0001465792086973642    -0.0010841132683292443     8.795072287013358e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6133.818054056846     All      -3.616190735918126e-05     4.938530821751098e-05     -0.00045842561050754566    7.408113008846409e-06      
MWEBV         All|All|All                      All                   All      -0.8493597802140211        -4.047877496538632        0.07901526218652699        -1.0383363600667939        
Redshift      All|All|All                      All                   All      8.685832199383253          -1.8541229083839816       16.326380471037865         -2.7046387567540866        
