#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7911.76421562323      All      0.5208546810552175        -0.07807134279556038       0.23306886158957754       -0.1846891172029335        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4354.599115588439     All      -1.5865419533859506       0.8678832744613452         -0.14511386979136875      0.7930112793765076         
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5447.8325932312655    All      2.0759521651699067        0.20699677429272256        -0.08307923546655654      -0.6124877023244634        
Check         All|All|All                                All                   All      1.0102648928391735        0.9968087059585073         0.004875756331652242      -0.004165540150889213      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7911.76421562323      All      3.21933283293955e-05      -3.147881625602536e-06     3.2725717216264395e-05    -1.005139631803577e-05     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4354.599115588439     All      -0.0007197138617216939    0.00012287021271251592     -0.0015523649597764396    0.00020518243483545198     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5447.8325932312655    All      0.00023865667857772603    -0.00015643828583849074    -0.0020432784450235392    -0.00021987756071154455    
MWEBV         All|All|All                                All                   All      -0.8264705128660395       -4.078540924899032         0.08236554324327004       -1.0556307272340928        
Redshift      All|All|All                                All                   All      0.8561188846677339        0.47174900052411317        5.320523848748962         0.11222862642833457        
