#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CalanTololo|Bessell12_I 7911.76421562323 All 0.3143392964127802 0.0033582116280772567 0.7652571583565395 -0.06714685800972542
Zeropoint Linear_AB11_off|CalanTololo|Bessell12_B 4354.599115588439 All -3.0537966828403595 0.29199961788338413 -4.844314571568235 0.8736564183774904
Zeropoint Linear_AB11_off|CalanTololo|Bessell12_V 5447.8325932312655 All 4.129807608475341 0.3383319133981484 5.883627602885664 -0.9724490923393669
Check All|All|All All All 1.3903502220477613 0.6336897429096098 1.804570189673968 -0.16593953197160194
