#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                3932.7924973557597    All      -1.056333990407449        0.3361425556413167         -1.011122128839445         0.4084536854715836        
Zeropoint     AB|PS|PS_g                3096.8525433305767    All      -0.1888934247570721       0.09354034076842765        0.564377461251289          0.11718354323026917       
Zeropoint     AB|PS|PS_z                5474.381839483466     All      1.7976057336020315        0.37234588954433434        1.7050706289877737         -0.3881645498001212       
Zeropoint     AB|PS|PS_i                4763.463465523106     All      0.4368408518675836        0.1982822122577943         -1.2377090442997112        -0.13293966732210089      
Check         All|All|All               All                   All      0.989219170305094         1.000310998211873          0.02061691709990665        0.004533011579630708      
Lambda        AB|PS|PS_r                3932.7924973557597    All      -0.001096480104527535     0.00015634660374421862     -0.002097348632215145      0.0003144918389766381     
Lambda        AB|PS|PS_g                3096.8525433305767    All      -0.0005374845254469394    0.00027687639943802477     0.0016905949379403123      0.0003407076323722433     
Lambda        AB|PS|PS_z                5474.381839483466     All      -0.0005619240655837439    -0.00010447765369933126    -0.0001563898993613585     0.00014202638295501843    
Lambda        AB|PS|PS_i                4763.463465523106     All      -8.278325472561146e-05    -3.7264939915142e-05       -0.00010775585734392512    1.0018163633339325e-05    
MWEBV         All|All|All               All                   All      -0.2573303455852374       -2.114747706217024         0.42712002700631135        -0.5859615364599094       
Redshift      All|All|All               All                   All      2.658649231865339         -0.24673092852705025       -3.23316085932088          -1.0906590221887134       
