#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                3932.7924973557597    All      -1.4238464755130997       0.358823069497749          -0.6066507529119969        0.5536020820397086         
Zeropoint     AB|PS|PS_g                3096.8525433305767    All      -0.6629764508937892       0.2917823663798558         1.7330021200486823         0.3883322826450536         
Zeropoint     AB|PS|PS_z                5474.381839483466     All      2.5940313291433443        0.2166185711802271         0.33069984592824786        -0.7596439345507972        
Zeropoint     AB|PS|PS_i                4763.463465523106     All      0.538171241181314         0.11625156177199614        -1.5994211488467136        -0.20880794032616212       
Check         All|All|All               All                   All      1.045379643917769         0.983475568829828          -0.14236993578178048       -0.026517510192197058      
Lambda        AB|PS|PS_r                3932.7924973557597    All      -0.0008060180273607874    0.0004732682604489321      0.0006801209241049323      0.0004470563043687607      
Lambda        AB|PS|PS_g                3096.8525433305767    All      -0.0004643443960774817    0.00012192886701690539     0.0007269319904359115      0.00022340812566257556     
Lambda        AB|PS|PS_z                5474.381839483466     All      -0.0008192961314092644    -1.4769156320126542e-05    0.00015942364615141263     0.00026917524905924477     
Lambda        AB|PS|PS_i                4763.463465523106     All      0.00021600619874324612    -6.84855241728244e-05      -0.00019723430302154033    -0.00010146997473290604    
MWEBV         All|All|All               All                   All      -0.0443457687530362       -2.2306174632459985        -0.3711113245686515        -0.7287016110615204        
Redshift      All|All|All               All                   All      2.46783520350392          -0.12215348518083147       -2.0496120541311003        -0.9351092964497435        
