#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          5515.6803639006375    All      0.8440843131239845        0.30496881393116126        -0.4365828914709824       -0.19509034375385925      
Zeropoint     AB|DECam|DECam_r          4540.1213464595       All      0.4973810791132507        0.3252297655363279         1.6771375965420332        0.018767601677308066      
Zeropoint     AB|DECam|DECam_g          3416.002689634355     All      -0.8874448160550977       0.21397067157131744        -1.816663207081859        0.27769792451342035       
Zeropoint     AB|DECam|DECam_z          6463.566171021303     All      0.5366367634155769        0.15049610676527436        0.5256851943986507        -0.10231979968002847      
Check         All|All|All               All                   All      0.9906573395977144        0.9946653578040809         -0.05042330761215741      -0.000944617243159307     
Lambda        AB|DECam|DECam_i          5515.6803639006375    All      4.349335464162861e-05     2.1791727521566914e-05     0.0003283428781964434     7.58350071428373e-06      
Lambda        AB|DECam|DECam_r          4540.1213464595       All      -0.000465089049240287     -0.00026253164186016754    -0.002772747539315419     -5.77553763863495e-05     
Lambda        AB|DECam|DECam_g          3416.002689634355     All      -0.000572617492488178     0.00020906787741346424     -0.0010838289436069751    0.00020625433375488168    
Lambda        AB|DECam|DECam_z          6463.566171021303     All      -6.762980362881543e-05    -1.8709991013267803e-05    9.405173556172798e-05     2.0131889377037254e-05    
MWEBV         All|All|All               All                   All      -0.6670525941462149       -2.46766849851614          -0.4177128682458897       -0.6051604453809811       
Redshift      All|All|All               All                   All      4.0670807732634895        0.9795323067777417         0.3837006492935391        -0.9885933151571769       
