#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6476.892982049475     All      0.12050655109917317        0.01776565188862378       0.02698023079157828       -0.03226208716355152       
Zeropoint     AB|SDSS|SDSS_r            4492.322939986788     All      0.3600982718278303         0.360458664203378         -1.014464205383878        -0.045153486567440906      
Zeropoint     AB|SDSS|SDSS_i            5447.7267428181385    All      1.397436516759303          0.37431907817762067       0.86146184340006          -0.294819923790187         
Zeropoint     AB|SDSS|SDSS_g            3437.9117680606773    All      -0.8823739011896184        0.24602886938289714       0.1280761755786825        0.3732733572074251         
Check         All|All|All               All                   All      0.9956674384966882         0.9985722636525196        0.0020540443864429103     0.0010378596862456457      
Lambda        AB|SDSS|SDSS_z            6476.892982049475     All      -2.6821978435028473e-05    -6.953523250449826e-06    -4.7388193462094e-05      4.3570920782644196e-06     
Lambda        AB|SDSS|SDSS_r            4492.322939986788     All      -0.0003511751550554865     -0.00015688982632887      -0.001712579566660969     -1.3139437102910838e-05    
Lambda        AB|SDSS|SDSS_i            5447.7267428181385    All      0.00011530041865872291     3.308912736429508e-06     -0.0007547035654280632    -7.015827178695052e-05     
Lambda        AB|SDSS|SDSS_g            3437.9117680606773    All      -0.0015369704379685587     0.00028750281096794696    -0.0012030962665208465    0.0005406022998121009      
MWEBV         All|All|All               All                   All      -0.6172526225910813        -2.5950623429606523       0.23301366659562867       -0.633839364184355         
Redshift      All|All|All               All                   All      4.297359966520415          0.28864488385682563       -0.19346290542322245      -1.3144037461584923        
