#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6476.892982049475     All      0.18429900199555754       -0.011203594980102594      -0.3704853628834215       -0.08021468784712993       
Zeropoint     AB|SDSS|SDSS_r            4492.322939986788     All      0.03065340818581329       0.35060312692163365        -1.7617013737561082       0.02560150831636271        
Zeropoint     AB|SDSS|SDSS_i            5447.7267428181385    All      1.4740466105326648        0.4133046764646764         1.8234996264977932        -0.26414413199928044       
Zeropoint     AB|SDSS|SDSS_g            3437.9117680606773    All      -0.692628059063005        0.24645371251725834        0.31349953368240424       0.3198798722132745         
Check         All|All|All               All                   All      0.9963709616510308        0.9991579209234658         0.004812423540667687      0.0011225606832268586      
Lambda        AB|SDSS|SDSS_z            6476.892982049475     All      -0.0002061409341304703    -9.043344013630954e-05     -0.0010618820941121127    -9.697183354787854e-06     
Lambda        AB|SDSS|SDSS_r            4492.322939986788     All      -0.0004440307073650606    -0.00010535622650668247    -0.0015737679868918087    4.008738327498384e-05      
Lambda        AB|SDSS|SDSS_i            5447.7267428181385    All      0.00039387316456736927    4.270395251640839e-06      -0.0010916514404130794    -0.00017562182952844313    
Lambda        AB|SDSS|SDSS_g            3437.9117680606773    All      -0.0016485620607112502    0.00023695459713740525     -0.002354844763121685     0.0005090889007495064      
MWEBV         All|All|All               All                   All      -0.5923272529168782       -2.59845820335336          0.15514561891504242       -0.6465394138909188        
Redshift      All|All|All               All                   All      5.502096643572541         0.8722496068376273         12.651576130199471        -0.9435117612044255        
