#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5390.950937295826    All      0.1356819163725215         0.5226476348470399        -1.0028290168274774        0.0812958121072163         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4309.132078121572    All      -0.9491483339153388        0.7254673802182587        0.40901268478759356        0.5637297889086312         
Zeropoint     AB|CNIa02|SDSS_r                      6078.439072985002    All      1.1683281065891469         -0.07685535482728767      -0.07551262672902          -0.4089670004163878        
Zeropoint     AB|CNIa02|SDSS_i                      7371.169778944805    All      0.6431350514673035         -0.175119561852366        0.6773753452364216         -0.23630429674992826       
Check         All|All|All                           All                  All      0.9979967405136334         0.996140098385645         0.008046386467517763       -0.000245696150468544      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5390.950937295826    All      -3.035418439993647e-06     8.777052062953855e-05     -0.0009869688824912474     -1.446540645985951e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4309.132078121572    All      -0.000520000560984108      0.000246559329258942      -0.0006850698237028971     0.00021912225550350264     
Lambda        AB|CNIa02|SDSS_r                      6078.439072985002    All      1.2879060595879371e-05     -4.658965562495063e-05    -0.00046101919020163717    -3.9944086409919966e-05    
Lambda        AB|CNIa02|SDSS_i                      7371.169778944805    All      -0.00010448079538762569    -4.022789567621585e-06    -0.0008981271280125642     -7.356811308702672e-06     
MWEBV         All|All|All                           All                  All      -0.8534283626739048        -4.037236471351324        0.09290537615801277        -1.0329251049328245        
Redshift      All|All|All                           All                  All      5.665682048161169          -1.1169308179773907       8.58710842999091           -1.8261169417686662        
