#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5390.950937295826    All      0.18026819706541936        0.4997204573723657         -0.8149410201331142       0.0676890360093517         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4309.132078121572    All      -0.9343166734071137        0.7281077537750313         0.36890400202209683       0.5579688193678086         
Zeropoint     AB|CNIa02|SDSS_r                      6078.439072985002    All      1.1036513572391098         -0.06491302785791575       -0.1882146940879348       -0.38903902221077286       
Zeropoint     AB|CNIa02|SDSS_i                      7371.169778944805    All      0.6468721363518394         -0.16537132228604534       0.6331514488271406        -0.23631977529269266       
Check         All|All|All                           All                  All      0.9964750172492547         0.997543861003436          -0.0011002633718115717    0.00029905787369483017     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5390.950937295826    All      -5.1220395870311217e-05    7.989037047687876e-05      -0.0010046814463595818    -2.127228600675163e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4309.132078121572    All      -0.00044053591044574585    0.00018827999686611287     -0.0006791846260690762    0.00017451713796104082     
Lambda        AB|CNIa02|SDSS_r                      6078.439072985002    All      -3.3181414758746275e-05    -5.5815071851201855e-05    -0.0005814317047449098    -3.3319153303748606e-05    
Lambda        AB|CNIa02|SDSS_i                      7371.169778944805    All      -0.00012572224330024883    8.657134744114218e-06      -0.0009483879637482253    1.4495853455557605e-06     
MWEBV         All|All|All                           All                  All      -0.8605105199511738        -4.031669629088075         0.07643511261347102       -1.0295399018595621        
Redshift      All|All|All                           All                  All      5.818018222823829          -0.8109346857550825        8.74275329675408          -1.7691191227764178        
