#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4798.845537763358    All      -2.2022250197257653       1.4128171717873172       -0.1904379311827161       1.1690398029123943        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5746.622276348711    All      3.1994828225317944        -0.4102681373627348      0.1905695114328402        -1.1673104028756451       
Check         All|All|All                            All                  All      0.9972578028060296        1.0025490344245824       0.00013158025012410812    0.0017294000367491513     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4798.845537763358    All      1.2016503662635905e-05    -9.76396748915994e-05    -0.000886661462725873     -7.528625372888598e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5746.622276348711    All      -0.000286175127675895     3.844006152197419e-05    0.00011187094278563478    0.00011073013301612416    
MWEBV         All|All|All                            All                  All      -0.32861252953615194      -2.6791231481340105      -0.00663076872319485      -0.7659345387338555       
Redshift      All|All|All                            All                  All      -0.8804773215667252       1.9530366772066543       -4.610438227314787        0.7172260461339589        
