#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3581.475898857641    All      -1.056077681985995        0.3104209013514492         -0.42962354909508516      0.42594141925453344        
Zeropoint     AB|SDSS|SDSS_z            6747.362259321652    All      0.16608870508106882       0.024257216987066954       0.22174630716257732       -0.036303662544862794      
Zeropoint     AB|SDSS|SDSS_i            5675.218955363558    All      1.1249733889921842        0.16963153260540764        -0.7805316122807324       -0.34601781344274823       
Zeropoint     AB|SDSS|SDSS_r            4679.918341395903    All      0.761564985114969         0.4942403414801788         0.9898374221337285        -0.042904533160413455      
Check         All|All|All               All                  All      0.9965493972022269        0.9985499924241026         0.0014285679204881774     0.000715410106508968       
Lambda        AB|SDSS|SDSS_g            3581.475898857641    All      -0.0018535351803289613    0.0004526641123269225      -0.0016822883223382246    0.0006761321799659762      
Lambda        AB|SDSS|SDSS_z            6747.362259321652    All      -8.48707973977461e-05     -1.3814018648274433e-05    -0.0001483989607413971    1.6523166491172724e-05     
Lambda        AB|SDSS|SDSS_i            5675.218955363558    All      -0.0002544072454782707    -3.643611187907452e-05     0.00020099889213923898    7.997002665220584e-05      
Lambda        AB|SDSS|SDSS_r            4679.918341395903    All      -0.0002900303001755548    -0.0001338751323435487     -0.0014767917567099598    -1.5037557927445733e-05    
MWEBV         All|All|All               All                  All      -0.5932480139170613       -2.786885893096347         0.0018271442908556518     -0.7144584887333677        
Redshift      All|All|All               All                  All      7.829483714827397         0.2051872143944422         1.2715584225061265        -2.426740389755575         
