#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|SDSS|SDSS_g 3581.475898857641 All -0.6866949217281066 0.1806132451927951 -1.279570298986524 0.2254094579673446
Zeropoint AB|SDSS|SDSS_z 6747.362259321652 All 0.27991517185858467 0.04542878483691837 0.9701431096199151 -0.03308689934975176
Zeropoint AB|SDSS|SDSS_i 5675.218955363558 All 0.8073584462291598 0.16974634129300625 -0.40105884506155753 -0.22558865365133124
Zeropoint AB|SDSS|SDSS_r 4679.918341395903 All 0.098212944614405 0.4290224485658456 0.5919668242343263 0.13417229930669164
Check All|All|All All All 0.4987916409740428 0.8248108198885653 -0.11851921019384015 0.10090620427295324
