#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7704.3825219697255    All      0.26531881263736967        -0.03838235879785046       0.5661850218611653         -0.07365922587629983       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                   6270.649131788359     All      0.6830501207345134         -0.015477019541432213      -0.4183444968832162        -0.24620206395731153       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                   5285.766651115179     All      0.19496059064484503        0.28999506141640374        -0.4872147886589073        0.009213695350256818       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6421.988370426502     All      0.6463232204271041         -0.09732578669079395       0.4543774214409879         -0.22195416950504324       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4303.010682900907     All      -0.38010362452564184       0.22133206892283042        -0.10786419961101856       0.19109390817646996        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5283.132990831933     All      0.0038036162036466786      0.12105091771705823        -1.208470638153547         -0.015737190851343452      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                   4310.758638275959     All      -0.6744812174948264        0.5490897288956909         0.3537276013141688         0.4143425497623969         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                   7773.2662779874345    All      0.3241887640557758         -0.04885484303871479       0.6554980949640576         -0.09226070621642171       
Check         All|All|All                                      All                   All      1.0630602826827864         0.9814277688831918         -0.1921059837263095        -0.035163203117296066      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7704.3825219697255    All      1.833925875249413e-05      2.599215317932991e-06      6.762053467120009e-05      -2.1094560861911152e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                   6270.649131788359     All      -0.00023582072083988347    -4.3083497387557594e-05    -0.00018370712074580023    5.4582849482133955e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                   5285.766651115179     All      8.719537986820493e-06      9.046355622446562e-05      -0.000879645967530595      -1.2627843424770815e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6421.988370426502     All      -0.000273809106789534      2.8169484908509177e-05     -0.0009840952894034846     5.4448709136731525e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4303.010682900907     All      -0.00016702420582924193    6.0094344058167635e-05     -0.00016005490279524955    6.683746847050827e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5283.132990831933     All      -0.0001209581310968475     3.2340923343611834e-05     -0.0018692534715068993     -3.3481651842340684e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                   4310.758638275959     All      -0.00021815842781350812    9.421911863767503e-05      -7.092544774645074e-05     9.858656681104867e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                   7773.2662779874345    All      4.363346535227658e-05      8.246854890211622e-06      0.00013910711616516098     -5.318871513823421e-06     
MWEBV         All|All|All                                      All                   All      -0.7977842993845488        -3.9837828349399196        -0.0393035958922372        -1.0395384782386343        
Redshift      All|All|All                                      All                   All      4.755747389085604          -0.27457471003433653       5.562736434955218          -1.3903020219970932        
