#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7704.3825219697255    All      0.2352602289458842         -0.0505119327490533       0.205925698858527          -0.08389587653137437       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                   6270.649131788359     All      0.6898455378387395         -0.03942901672431276      -0.07137059657570848       -0.24073365677326525       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                   5285.766651115179     All      0.1293679824933688         0.3402894489841657        -0.2660574775174493        0.05683113748237991        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6421.988370426502     All      0.6169429985991215         -0.09593341818163736      0.043322944189299946       -0.23027399785890057       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4303.010682900907     All      -0.35174754357073          0.2180785191818302        -0.11608894367519941       0.18043057898014914        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5283.132990831933     All      0.05063340508224985        0.190714505735734         -0.4654558329185647        0.02485786695232599        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                   4310.758638275959     All      -0.622184872101849         0.48380905883504965       0.39078139400065287        0.37769738824592447        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                   7773.2662779874345    All      0.2479561426893765         -0.050191321970771696     0.2761442834970986         -0.08479338691239273       
Check         All|All|All                                      All                   All      0.9960738799761613         0.9968258431110044        -0.0027985301413434582     0.0001200535848465828      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7704.3825219697255    All      -4.217529737431748e-05     8.919509899012531e-06     -3.8073938743264864e-05    1.4944194679316848e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                   6270.649131788359     All      -0.00020637528740884945    3.223697264252925e-06     -0.00020367876338535026    5.91840371626415e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                   5285.766651115179     All      1.7845763931210737e-06     5.9018823785067704e-05    -0.0003974229838699489     9.079148539946649e-07      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6421.988370426502     All      -0.00018868117350269746    1.4473786283227003e-05    -0.00043295423620546967    4.685349492696257e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4303.010682900907     All      -0.0001883292550551581     7.317615829720147e-05     -0.0003289500751061874     7.050138536247946e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5283.132990831933     All      -6.442215463762614e-05     3.290590449590135e-05     -0.000980241065423073      -1.2040705807633071e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                   4310.758638275959     All      -0.00023879887892669065    8.980809306666004e-05     -0.00033695871189567847    9.200118190998136e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                   7773.2662779874345    All      -2.542857670787243e-05     6.7917523909973e-06       1.3954213277455938e-05     1.1117933654032964e-05     
MWEBV         All|All|All                                      All                   All      -0.7990507562282203        -3.9914774848452517       0.08733127373311278        -1.0359812195816271        
Redshift      All|All|All                                      All                   All      5.165820793171834          -0.3063545677478352       6.0235516983677435         -1.513664097147651         
