#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                    
Zeropoint     AB|SDSS|SDSS_i            6186.837798019968     All      1.274554594745504          0.021369989189068406      0.019590149566330976       -0.40732923617780076     
Zeropoint     AB|SDSS|SDSS_g            3904.344596750547     All      -1.0006526677062455        0.5469256287550905        -0.16621284729152538       0.49667984898449413      
Zeropoint     AB|SDSS|SDSS_z            7355.6344153827295    All      0.08389695314965319        0.001583240188907098      0.07923193755219363        -0.023276526878207027    
Zeropoint     AB|SDSS|SDSS_r            5101.811210091062     All      0.6393657111098664         0.4289937582576897        0.06898300957014411        -0.06544667118601528     
Check         All|All|All               All                   All      0.9971645912987782         0.9988726163907558        0.001592249397143336       0.0006274147424710635    
Lambda        AB|SDSS|SDSS_i            6186.837798019968     All      -0.00019939362414873483    -3.240516959552869e-05    -0.0004068609308752843     3.623729870465544e-05    
Lambda        AB|SDSS|SDSS_g            3904.344596750547     All      -0.001086228533776732      0.0004404948726319224     -0.0013225976688471962     0.0004382825816861852    
Lambda        AB|SDSS|SDSS_z            7355.6344153827295    All      -1.4864406081419398e-05    -6.978546120778201e-07    -1.9144093072163483e-05    3.760198931092893e-06    
Lambda        AB|SDSS|SDSS_r            5101.811210091062     All      2.8268358812828456e-05     2.4243642847502574e-05    -0.0010841682435119239     -4.96924317024298e-05    
MWEBV         All|All|All               All                   All      -0.5701503406445956        -3.183181645742472        0.08672867565055577        -0.8472799597829808      
Redshift      All|All|All               All                   All      5.226568762445871          0.6421539674526855        0.24917467569552854        -1.482175200137752       
