#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6186.837798019968     All      1.2447004248572908        0.04512491268506835       0.0660334303596466        -0.3877944404602446       
Zeropoint     AB|SDSS|SDSS_g            3904.344596750547     All      -1.0485696818661914       0.5540442548349844        -0.2994911695092417       0.5086591682340097        
Zeropoint     AB|SDSS|SDSS_z            7355.6344153827295    All      0.08951136575769775       0.0050310699519329205     0.11014192799359002       -0.022602883280339738     
Zeropoint     AB|SDSS|SDSS_r            5101.811210091062     All      0.7113754444575476        0.3944926805237614        0.12252072476809928       -0.09775160411744516      
Check         All|All|All               All                   All      0.9970175532063448        0.9986929179957471        -0.000795086387905819     0.0005102403759802143     
Lambda        AB|SDSS|SDSS_i            6186.837798019968     All      -0.000191905386919533     -4.61639332457164e-05     -0.0006025536195299693    2.058358560202306e-05     
Lambda        AB|SDSS|SDSS_g            3904.344596750547     All      -0.0010840652768796663    0.00047395451815613747    -0.0010887862757582444    0.0004589107736993239     
Lambda        AB|SDSS|SDSS_z            7355.6344153827295    All      -8.282215603175695e-06    1.543975615697606e-07     -4.051935328958885e-06    2.567263200220876e-06     
Lambda        AB|SDSS|SDSS_r            5101.811210091062     All      3.484080145522959e-05     2.111243419005358e-05     -0.0012224642331841256    -5.902474502000039e-05    
MWEBV         All|All|All               All                   All      -0.576645192897637        -3.1850920581700137       0.05436775170167274       -0.8472307763157158       
Redshift      All|All|All               All                   All      5.136668948435222         0.5997522610002193        0.028050204328833317      -1.476571273433861        
