#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4165.250720674095     All      -1.0287047521051247       0.47189197303048047       -0.19272185391372415      0.48019343034183226        
Zeropoint     AB|MEGACAMPSF|i           5082.395091821142     All      2.0580482426641264        0.4385109893091155        0.2434958427309873        -0.516670463485624         
Zeropoint     AB|MEGACAMPSF|z           5867.091044486972     All      0.3796899281433463        0.00202209158750577       -0.05037597286940959      -0.12526688756969043       
Zeropoint     AB|MEGACAMPSF|g           3268.5624915567464    All      -0.4267266785220206       0.0889590293361664        0.001007955500301931      0.16802078102987894        
Check         All|All|All               All                   All      0.9823067401803272        1.001384083263268         0.0014059714481554782     0.006276860316396821       
Lambda        AB|MEGACAMPSF|r           4165.250720674095     All      -0.0006589228502911185    0.00023003816553355608    -0.0006626437786606477    0.0002599931003739954      
Lambda        AB|MEGACAMPSF|i           5082.395091821142     All      0.0002363802205276286     -2.306917500976468e-05    -0.001735525359492848     -0.00016195972957261026    
Lambda        AB|MEGACAMPSF|z           5867.091044486972     All      -6.427668601575856e-05    -2.623910608382799e-07    2.6478654759710393e-06    2.0969723949553197e-05     
Lambda        AB|MEGACAMPSF|g           3268.5624915567464    All      -0.000770049784545877     0.00016581442490322217    6.961662106721662e-05     0.0003079484320961915      
MWEBV         All|All|All               All                   All      -0.38856270368526324      -2.3310256584681          0.003114901109044853      -0.6325850857755367        
Redshift      All|All|All               All                   All      7.452964063735793         0.3311632535446307        5.209616749330659         -2.0873235555481635        
