#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           4165.250720674095     All      -1.1106545991979382       0.5320511210532786         0.18687296802115672       0.5434225787850538        
Zeropoint     AB|MEGACAMPSF|i           5082.395091821142     All      1.9229210742333518        0.39294636130993155        -0.1747483272519723       -0.5061613139273422       
Zeropoint     AB|MEGACAMPSF|z           5867.091044486972     All      0.49114894555081484       3.4144514948764026e-05     -0.118809502951156        -0.16527417033881905      
Zeropoint     AB|MEGACAMPSF|g           3268.5624915567464    All      -0.3211213724148675       0.07611594015237699        0.10581872844945828       0.1341154652654138        
Check         All|All|All               All                   All      0.982294048171361         1.0011475670305359         -0.0008661337325133189    0.006102559784306377      
Lambda        AB|MEGACAMPSF|r           4165.250720674095     All      -0.0006038494442072501    0.0002150219190285039      -0.0002835512715092322    0.00025407975212996393    
Lambda        AB|MEGACAMPSF|i           5082.395091821142     All      0.00020895776938662953    -2.3868877425003777e-05    -0.0015254295490569867    -0.0001439122133656158    
Lambda        AB|MEGACAMPSF|z           5867.091044486972     All      -8.655718776945986e-05    -7.959846013290855e-07     1.280033415702821e-05     2.8506465455258515e-05    
Lambda        AB|MEGACAMPSF|g           3268.5624915567464    All      -0.0005008063858167589    0.00015012774148573998     0.0005427419954622218     0.00023625074289277632    
MWEBV         All|All|All               All                   All      -0.37051939162147596      -2.342234193174164         -0.08376170302111241      -0.6459902784581696       
Redshift      All|All|All               All                   All      7.069073038530818         0.31821047525095736        1.7686168358218124        -2.1200527872222388       
