#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5143.861985811972    All      0.9416989572830393         0.6359866496445932        1.8060398196391059        -0.01898529392439369       
Zeropoint     AB|SDSS|SDSS_z            7416.261929876889    All      0.013440052924981863       -0.0009163651593979694    0.0018867817327809207     -0.0045921592791494615     
Zeropoint     AB|SDSS|SDSS_i            6237.83171330864     All      1.163928793082683          -0.12165845949159149      -0.9625743987169172       -0.46171333719820584       
Zeropoint     AB|SDSS|SDSS_g            3936.525465899598    All      -1.1218999254667827        0.4863007911250605        -0.8364968122939768       0.4865148707842243         
Check         All|All|All               All                  All      0.997167877823921          0.9997126161186642        0.00885539036099292       0.00122408038247529        
Lambda        AB|SDSS|SDSS_r            5143.861985811972    All      0.00022842269517796973     0.0001449984233231401     0.0002864821762718131     -1.4389646158173035e-05    
Lambda        AB|SDSS|SDSS_z            7416.261929876889    All      -2.6985610418860036e-06    3.0047523789709046e-07    6.919082390247168e-07     1.007761468576378e-06      
Lambda        AB|SDSS|SDSS_i            6237.83171330864     All      -0.00028200174856345535    1.2010316830046269e-05    7.436132468554816e-05     9.908780679981163e-05      
Lambda        AB|SDSS|SDSS_g            3936.525465899598    All      -0.0011201008249218007     0.00030344637274663745    -0.0021581029737365574    0.00036738993168290875     
MWEBV         All|All|All               All                  All      -0.5789713679243955        -3.216415833671249        0.12928609892263906       -0.8533329870340235        
Redshift      All|All|All               All                  All      4.814879495592223          0.2009190675986261        -5.388604532505735        -1.743387377507128         
