#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5143.861985811972    All      1.0172851770206832         0.6245951464496358         1.8769354021264228        -0.044153055530855856     
Zeropoint     AB|SDSS|SDSS_z            7416.261929876889    All      0.018249635570740348       -0.0005739657693126787     0.00735971824924464       -0.005803035811044466     
Zeropoint     AB|SDSS|SDSS_i            6237.83171330864     All      1.1075530029598548         -0.11943222903205708       -1.1033552438099004       -0.4489071336787845       
Zeropoint     AB|SDSS|SDSS_g            3936.525465899598    All      -1.1443410907907363        0.49529397764498384        -0.7705242434794424       0.49969812608437675       
Check         All|All|All               All                  All      0.9987467247605422         0.9998829292932498         0.01041563308632476       0.0008349010636919396     
Lambda        AB|SDSS|SDSS_r            5143.861985811972    All      0.00017027322227743886     8.912673151326924e-05      0.00021907466014026367    -1.665578577360049e-05    
Lambda        AB|SDSS|SDSS_z            7416.261929876889    All      -4.321399369798936e-06     -1.0161694547639488e-06    -1.45973105442171e-05     4.252111955951938e-07     
Lambda        AB|SDSS|SDSS_i            6237.83171330864     All      -0.00038957522558940157    3.1259823437051835e-05     0.00027124178688622       0.00014918409571005394    
Lambda        AB|SDSS|SDSS_g            3936.525465899598    All      -0.0010687463661653998     0.00020509440812902167     -0.002587448280069955     0.00029946591528496344    
MWEBV         All|All|All               All                  All      -0.578837277926862         -3.2116942011253258        0.16345070384714555       -0.8503140640949203       
Redshift      All|All|All               All                  All      5.001863411381042          0.42899546196544236        -6.242951349504466        -1.768127779901535        
