#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5414.150717634164     All      1.0517800529319599        0.3204140210263162         1.0769430098422905         -0.19017095751050483      
Zeropoint     AB|SDSS|SDSS_r            4464.635363996235     All      0.799030784201932         0.5049603587714557         -0.9412382217730997        -0.13779155107928043      
Zeropoint     AB|SDSS|SDSS_z            6436.9738869579505    All      0.11306958472494602       0.03381659345915722        0.33884617409492           -0.010694158115565067     
Zeropoint     AB|SDSS|SDSS_g            3416.722854307457     All      -0.9643977885312213       0.13957112094598045        -0.4610156838564361        0.33902598071298695       
Check         All|All|All               All                   All      0.9994826333276168        0.9987620942029096         0.013535278307674758       0.00036931400763662303    
Lambda        AB|SDSS|SDSS_i            5414.150717634164     All      7.650664842491105e-06     -5.723267586064313e-06     -2.7500667106310897e-05    -5.583558248247561e-06    
Lambda        AB|SDSS|SDSS_r            4464.635363996235     All      -0.0005922547800090106    -0.0002500329102573315     -0.0017227706953204483     3.459357801067677e-05     
Lambda        AB|SDSS|SDSS_z            6436.9738869579505    All      -5.11480305621603e-05     -1.5345987606851686e-05    -0.0001394248648006722     5.440011881959779e-06     
Lambda        AB|SDSS|SDSS_g            3416.722854307457     All      -0.0012644128275260571    1.96661532418407e-05       -0.003310736322143069      0.0002705238125844617     
MWEBV         All|All|All               All                   All      -0.7241901076610808       -2.564551233305501         0.42838291867894895        -0.5803494025359623       
Redshift      All|All|All               All                   All      3.372402087586253         1.1661594384710483         -3.392345646016315         -0.8700306197457458       
