#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5414.150717634164     All      1.2408529574432967         0.31037407196290445        0.417377004935141          -0.28446196606002544       
Zeropoint     AB|SDSS|SDSS_r            4464.635363996235     All      0.5379102043917056         0.46649063494594856        -0.47910188917395735       -0.044643820280973676      
Zeropoint     AB|SDSS|SDSS_z            6436.9738869579505    All      0.13278394402514077        0.023964945745547084       0.09784167546394006        -0.03107970317297521       
Zeropoint     AB|SDSS|SDSS_g            3416.722854307457     All      -0.9155986169993251        0.19782181288690026        -0.02997826149967976       0.36133987233249815        
Check         All|All|All               All                   All      0.9959484888608181         0.9986514655413004         0.006138529725443962       0.0011543828185238136      
Lambda        AB|SDSS|SDSS_i            5414.150717634164     All      0.00017493294954751845     4.968462775151326e-05      0.00014951328703905823     -3.412540764548997e-05     
Lambda        AB|SDSS|SDSS_r            4464.635363996235     All      -0.00032491468511166644    -0.00015194373828775716    -0.001637239081951718      -1.6720132704715342e-05    
Lambda        AB|SDSS|SDSS_z            6436.9738869579505    All      -3.131039137373796e-05     -6.19438616885199e-06      -2.7605237193020004e-05    6.9492142376033324e-06     
Lambda        AB|SDSS|SDSS_g            3416.722854307457     All      -0.0014776569050077644     0.00017491944611915274     -0.0017446430726667508     0.0004604430782317826      
MWEBV         All|All|All               All                   All      -0.6586561869006069        -2.5818695923881307        0.19613186409815175        -0.6177014137153346        
Redshift      All|All|All               All                   All      3.5188313948842844         0.6489881227780714         -1.501161620589553         -1.001792317305206         
