#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_z          6302.419726757485     All      0.867864839330826         0.10478312210384644        0.5088930421825967        -0.2258512607322358        
Zeropoint     AB|DECam|DECam_i          5378.166141129416     All      0.4534818501405491        0.1474163997750466         -2.803715766575929        -0.2248125440998061        
Zeropoint     AB|DECam|DECam_g          3330.8365951804576    All      -0.6399413604640367       0.1502998450229498         -1.0907756667172992       0.20873125053638977        
Zeropoint     AB|DECam|DECam_r          4426.929280013524     All      0.3109158526633078        0.5961675418006962         3.3929484460122183        0.24432756555083462        
Check         All|All|All               All                   All      0.9923211816706462        0.998666908702539          0.007350054901586578      0.002395011255182461       
Lambda        AB|DECam|DECam_z          6302.419726757485     All      -0.0002495392326557948    -3.8936410365268196e-05    -0.0005037525250164407    4.612010630725546e-05      
Lambda        AB|DECam|DECam_i          5378.166141129416     All      0.00012301822176950946    4.070077218337342e-05      -0.0007731842989747638    -6.131716565005821e-05     
Lambda        AB|DECam|DECam_g          3330.8365951804576    All      -0.0011992240708297924    0.00022321263217608072     -0.003063843691925703     0.0003266091587009941      
Lambda        AB|DECam|DECam_r          4426.929280013524     All      -0.0003002050310297744    -0.00022957554912661385    -0.002929138498824612     -0.00010770765225922191    
MWEBV         All|All|All               All                   All      -0.5598231805812006       -2.4227288312777873        -0.49755464119017445      -0.6290132366578634        
Redshift      All|All|All               All                   All      3.1404718976138515        1.0291641744450075         9.361971269676108         -0.26994060561016847       
