#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7647.757624345634    All      0.20808844883680092       -0.04308854193906253       0.09929069545211694        -0.07738572166088711       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4404.924933268344    All      -0.4656324819190368       0.37776769988067116        0.12201408980309836        0.2801681146914438         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5428.067838059384    All      0.21137113410601518       0.17455029731929805        -0.11994095260766768       -0.017346171756992712      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I             8242.01899511036     All      0.038641461886524626      -0.008426335612821134      0.02456796814591134        -0.014235174548324401      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5447.544543073202    All      0.22997886303732878       0.18533878020641215        -0.08541850373280781       -0.018352579101730073      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6277.283263476602    All      0.6446589327166485        -0.10933762825177107       -0.18934640139794118       -0.2540511459152891        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V             5394.57146783929     All      0.08249489605811922       0.049109627442822656       0.1450371132474504         -0.0044023400978488135     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7962.883119912861    All      0.16384063420054415       -0.035833096305126766      0.06347611263383109        -0.0622076557247023        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4403.854796248845    All      -0.5082086874337175       0.35306075121956937        -0.21215542654822142       0.2710762688000588         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6439.922117798432    All      0.5354238645417605        -0.06676446504055855       0.11149139681079574        -0.1911772013743453        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B             4429.864195303175    All      -0.14382264117988314      0.12005395899429283        0.04129552197495062        0.08779611944128476        
Check         All|All|All                                All                  All      0.9968344248511045        0.9964310479137262         0.0003116137815164094      -0.00011748724733243177    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7647.757624345634    All      -3.552325001001316e-06    4.2080476911571576e-07     -6.402399714740123e-07     1.2656081088029616e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4404.924933268344    All      -0.0002645966996087787    0.00013604426866496282     -0.0004032015641095321     0.00011250891009470217     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5428.067838059384    All      9.266129252836809e-05     3.225758721942939e-05      -0.0002673919210272852     -3.160794739077419e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I             8242.01899511036     All      1.5883417145738271e-06    -3.521979535690877e-07     9.822791420858388e-07      -5.882630051065651e-07     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5447.544543073202    All      8.421146761793951e-05     2.4015426509021426e-05     -0.0003357578021946005     -3.459115961224051e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6277.283263476602    All      -6.869302604607858e-05    -1.1814092152957327e-05    -0.0001887097661816049     1.0106089878254522e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V             5394.57146783929     All      2.503304012627876e-05     1.4253119418261138e-05     4.269933361774663e-05      -1.605899675044408e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7962.883119912861    All      4.278920047729788e-05     -5.3503484516977755e-06    5.70435294683421e-05       -1.31350441015742e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4403.854796248845    All      -0.0003485875517685353    0.0001502263303693377      -0.0006921874159932027     0.00013159094662762354     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6439.922117798432    All      -6.23680551558789e-05     -3.3397540729339724e-06    -0.00011885230162714876    1.3923627283395946e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B             4429.864195303175    All      -7.035665609430503e-05    5.9354347441199964e-05     2.2012313170508486e-05     4.323344965467904e-05      
MWEBV         All|All|All                                All                  All      -0.8684321567868936       -4.12336681679355          0.05819510581960016        -1.057642322641489         
Redshift      All|All|All                                All                  All      3.2231139329602785        0.11375997560767459        -3.166385260531362         -1.1541201101125083        
