#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1 7647.757624345634 All 0.20968619825750637 0.005863132178767216 0.6417109742774247 -0.037755264691443635
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1 4404.924933268344 All -0.5361904514052546 0.35581224158981195 -0.17927234097301614 0.2825545219158838
Zeropoint Linear_AB11_off|LOSS|LOSS_K3_V 5428.067838059384 All 0.4064481501603159 0.05915690086736891 -0.01466899996204063 -0.11377879553346792
Zeropoint Linear_AB11_off|LOSS|LOSS_N1_I 8242.01899511036 All 0.016123224433366876 -0.007149870836261396 0.011313098200828264 -0.0070759611778875575
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1 5447.544543073202 All 0.32353107058268804 0.026410406991832502 -0.1730995543038203 -0.10450661320211041
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1 6277.283263476602 All 0.6122231073340267 0.021816760255609857 1.1484430633916407 -0.14106503172435247
Zeropoint Linear_AB11_off|LOSS|LOSS_N1_V 5394.57146783929 All 0.1530925093085615 0.028025227118907203 0.2902635867532819 -0.02778539765617416
Zeropoint Linear_AB11_off|LOSS|LOSS_K3_I 7962.883119912861 All 0.16407192119306507 0.0121766910777108 0.4702041153642247 -0.028494223553894305
Zeropoint Linear_AB11_off|LOSS|LOSS_K3_B 4403.854796248845 All -0.7457857015525566 0.19942184491205373 -1.822062299515638 0.22657492229021758
Zeropoint Linear_AB11_off|LOSS|LOSS_K3_R 6439.922117798432 All 0.5166408866961866 0.0154881368422628 0.9806069793010277 -0.11948195234191628
Zeropoint Linear_AB11_off|LOSS|LOSS_N1_B 4429.864195303175 All -0.05050443652498222 0.015298431766479492 -0.12224710778055758 0.01597883209300499
Check All|All|All All All 1.0693364784829236 0.7323199027645431 1.2311915147533554 -0.05483496358214035
