#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K3_V
@MAGSYS  Linear_AB11_off
54045.5  13.836  0.023
54048.56  13.939  0.009
54055.51  14.245  0.015
54068.54  14.698  0.062
54073.41  14.817  0.02
54080.52  14.994  0.025
