#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4470.580126976786     All      -1.9757358604098256        1.1040864011034657        1.0748477985004723        1.0511649543673798         
Zeropoint     VEGAHST|ACSWF|F775W          3838.5104212111723    All      -0.1965914223761377        0.011679444949663775      -0.6456414462857509       0.03902866097219987        
Zeropoint     ST|NICMOS2|F110W_faint       5762.138811777041     All      3.172610443409962          -0.1148345426036812       -0.4353178512308146       -1.0902552220300537        
Check         All|All|All                  All                   All      1.0002831606239984         1.0009313034494483        -0.006111499016093258     -6.160669047394762e-05     
Lambda        VEGAHST|ACSWF|F850LP_3pix    4470.580126976786     All      8.021260342085113e-07      -8.631725881526016e-05    -0.002510649390579188     -0.00014041640109407736    
Lambda        VEGAHST|ACSWF|F775W          3838.5104212111723    All      -0.00043263656328502005    2.279542990057829e-05     -0.0015608188951688915    7.869700473858638e-05      
Lambda        ST|NICMOS2|F110W_faint       5762.138811777041     All      -0.0014322011919015967     5.0310263792226165e-05    0.00017140763881421718    0.0004905518899711305      
MWEBV         All|All|All                  All                   All      -0.06711377870051582       -1.4856315892368244       0.004387103734013881      -0.4618621424510583        
Redshift      All|All|All                  All                   All      0.5118916889464253         1.4956996407267553        5.791088088100948         0.5788882800814854         
