#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4470.580126976786     All      -1.9445492340622585       1.0829239890103537         1.2158475944200278        1.040405323618292         
Zeropoint     VEGAHST|ACSWF|F775W          3838.5104212111723    All      -0.30909130499407256      0.0283488297728951         -0.736560469973074        0.07704604246926922       
Zeropoint     ST|NICMOS2|F110W_faint       5762.138811777041     All      3.2532941275116647        -0.11025679160088231       -0.48669633010604413      -1.1173382137905783       
Check         All|All|All                  All                   All      0.9996535884553337        1.0010160271823665         -0.007409205659090368     0.00011315229698283247    
Lambda        VEGAHST|ACSWF|F850LP_3pix    4470.580126976786     All      0.0002407132350824066     -0.00016980968264100924    -0.002487883479713353     -0.0002447436333694284    
Lambda        VEGAHST|ACSWF|F775W          3838.5104212111723    All      -0.0005801797435258326    5.183691257056748e-05      -0.0014179048164529883    0.00014259403786395463    
Lambda        ST|NICMOS2|F110W_faint       5762.138811777041     All      -0.0016658573197612608    6.0865453299886547e-05     0.00023862781839901277    0.000573099278235118      
MWEBV         All|All|All                  All                   All      -0.062320138744751175     -1.48633802724909          0.004546808584663118      -0.46364657189844954      
Redshift      All|All|All                  All                   All      0.670010119034419         1.6269267970601575         5.327498939001817         0.5494410529866409        
