#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4697.285105616509     All      -1.1085317509706436        1.1493870404862605         -0.022048251179164077     0.7344945215131462        
Zeropoint     AB|PS|PS_r                5965.2332046271395    All      1.1360918437111793         0.04449859217565688        -0.18618628016574473      -0.36387647293753406      
Zeropoint     AB|PS|PS_z                8303.505548703888     All      0.2993368173770398         -0.06475772364957777       0.1457409379322107        -0.11209382167097874      
Zeropoint     AB|PS|PS_i                7225.189341332357     All      0.6723294955256033         -0.1301871980855296        0.06456292098319817       -0.258524942487438        
Check         All|All|All               All                   All      0.9992264056431788         0.99894071092681           0.0020693275705000597     -7.155828046223611e-07    
Lambda        AB|PS|PS_g                4697.285105616509     All      -0.00016201581331932703    -3.94885853611176e-05      -0.0008316092755235252    2.8002466486926613e-06    
Lambda        AB|PS|PS_r                5965.2332046271395    All      -0.0001673157583149469     -3.8920955237350544e-05    -0.000641107277043007     1.3212738150718046e-05    
Lambda        AB|PS|PS_z                8303.505548703888     All      0.00024104361339695728     -5.56038009344194e-05      8.893450103159814e-05     -9.26590839381263e-05     
Lambda        AB|PS|PS_i                7225.189341332357     All      -0.00026440952579279093    5.945368561118868e-06      -0.000505784528947998     6.549264296027168e-05     
MWEBV         All|All|All               All                   All      -0.6863505894766702        -3.954330424904562         0.04085346058383574       -1.0626654434292855       
Redshift      All|All|All               All                   All      5.870229382319739          0.8394924405680015         9.738853651942858         -1.2040762187086533       
