#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5838.58202769801     All      1.3123957272063131         0.16009068818245709        0.08521929216854061        -0.3715407153083929       
Zeropoint     AB|SDSS|SDSS_z            6941.587334601713    All      0.14837205891407312        0.019859322763160492       0.15132344297407138        -0.035107955851291485     
Zeropoint     AB|SDSS|SDSS_g            3684.569878302474    All      -1.017809629338866         0.40504128264178263        -0.10372654900375455       0.45884051295346395       
Zeropoint     AB|SDSS|SDSS_r            4814.631353270493    All      0.5544595222088063         0.41420367408626646        -0.12846240847925894       -0.051418631297784484     
Check         All|All|All               All                  All      0.9974176789903269         0.9991949676736667         0.00435377765959849        0.0007732104959950747     
Lambda        AB|SDSS|SDSS_i            5838.58202769801     All      -0.00036356713261946773    -3.849427302302463e-05     0.0001091525808812355      0.00011075790331503987    
Lambda        AB|SDSS|SDSS_z            6941.587334601713    All      -7.020949012993904e-05     -1.2544889325445045e-05    -0.00010216381286931037    1.4224155844103738e-05    
Lambda        AB|SDSS|SDSS_g            3684.569878302474    All      -0.0018804935344726484     0.00047881153125233346     -0.0017506417645371212     0.0006903801771932887     
Lambda        AB|SDSS|SDSS_r            4814.631353270493    All      -0.00011518817271432903    -2.7118884274623625e-05    -0.0007630487414481826     -5.364296136382939e-06    
MWEBV         All|All|All               All                  All      -0.5392062940165707        -2.902396621560932         0.13924370230001554        -0.7635550294232115       
Redshift      All|All|All               All                  All      5.8540634570338685         -0.31181408774365593       2.904304677568104          -1.8788233889090211       
