#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7503.970806286084    All      0.4435922624021439         -0.08982505553056797       -0.040531439983653626      -0.1755603013714894       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4191.077799103137    All      -0.25437256775672595       0.2533975950025358         0.2781319473820821         0.17780919855068633       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                   7571.062710499073    All      0.2832927021948246         -0.002965311990088537      0.48380368114114186        -0.07165371656956897      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                   4198.624209315377    All      -0.5773027352685417        0.3933119116693362         -0.2273972292121963        0.3060134288390251        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                   5148.269640779491    All      0.07520625713371826        0.3623196075531965         0.4950849962521005         0.11561563351987492       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6254.935176514147    All      0.3244958920945456         -0.09474382265466375       -1.2163012140397431        -0.19083810458392644      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5145.704489085269    All      -0.07482190233892788       0.09162157623645584        -0.5925454518844233        0.02777353474502206       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                   6107.532678604964    All      0.7765311342497575         0.0836600293573575         0.8211486137665641         -0.18904682241250187      
Check         All|All|All                                      All                  All      0.9966210427107943         0.9967765296435616         0.001393903421872289       0.00011285071712174854    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7503.970806286084    All      -6.751610421622173e-05     -8.583788063869266e-07     -0.00012945684601998805    1.593554967592718e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4191.077799103137    All      -0.00013250747745069183    6.457003524512766e-05      -0.00017508537713095402    5.6381373299309054e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                   7571.062710499073    All      -0.00010261388186375669    6.144315272414651e-07      -0.00018163319571099976    2.551940246859648e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                   4198.624209315377    All      -0.0002499582485412751     0.0001496419912904324      -0.0001362015841698816     0.0001240848934203367     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                   5148.269640779491    All      -2.0103796921742078e-05    0.00011491572060379135     -2.3657323563939633e-05    4.292458117175039e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6254.935176514147    All      -6.161908190192123e-05     1.867221397274789e-06      1.2530323244850078e-05     2.1238748398612534e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5145.704489085269    All      -0.00015330545045254447    -1.80713024326514e-05      -0.0009435724304499126     1.942907181842029e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                   6107.532678604964    All      -0.0001923289710661026     -3.0123705080422717e-05    -0.00033620208693381867    3.78324365067579e-05      
MWEBV         All|All|All                                      All                  All      -0.7252622242077877        -3.853649082556565         0.06548777094441154        -1.0160961021919848       
Redshift      All|All|All                                      All                  All      6.286395899345056          0.6859418137077355         3.9266362140414732         -1.649024405313889        
