#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7503.970806286084    All      0.26681131719637863        -0.03509092060900443      0.06754126447332531        -0.09532543471418159      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4191.077799103137    All      -0.2960911590978712        0.26518479886448176       0.33087126313220416        0.19759130977572148       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                   7571.062710499073    All      0.2746917000569366         0.008590490795867822      0.5427061928767518         -0.06245943349737909      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                   4198.624209315377    All      -0.6934097115793949        0.4040113268434453        -0.4128004566472443        0.3390447478378397        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                   5148.269640779491    All      0.2605932991225661         0.3270754107406404        0.6497301295515179         0.050649882529847645      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6254.935176514147    All      0.30429537932626005        -0.10675090780285501      -1.3947641426379276        -0.1961332165050525       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5145.704489085269    All      -0.11513746584299425       0.04735009999095041       -1.0291060830757148        0.007003267899860499      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                   6107.532678604964    All      0.9953427654882323         0.08722084428907095       1.2523625875079825         -0.2399179956711947       
Check         All|All|All                                      All                  All      0.9970961246701132         0.9975911431125972        0.006540755180894919       0.0004531276554614605     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7503.970806286084    All      -4.1074204700704256e-05    3.517391594456754e-06     -2.3960049889457855e-05    1.3455722951239507e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4191.077799103137    All      -0.00013636519253097594    2.3328259162518812e-05    -0.0003683637750664641     3.557902752748833e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                   7571.062710499073    All      -0.0001027181225743637     -3.372988737847994e-06    -0.00021356830735437134    2.2829405774907766e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                   4198.624209315377    All      -0.00019549883052926245    7.812086886014116e-05     -0.00016844521399802287    8.161000165201122e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                   5148.269640779491    All      4.322912332731754e-05      6.131935892712039e-05     3.556241928654669e-05      7.479572326403828e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6254.935176514147    All      -8.855947713239625e-05     5.743075573088434e-06     6.163320339625577e-05      3.346785067451848e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5145.704489085269    All      -0.00021553817220137592    -3.669155963755565e-05    -0.001271776443206276      1.5026839884561693e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                   6107.532678604964    All      -0.0003100181847561772     -3.432690000701582e-05    -0.0005561477495179047     6.498340164990504e-05     
MWEBV         All|All|All                                      All                  All      -0.7666244486451914        -3.838154232333757        0.07865106513162967        -0.996988465070206        
Redshift      All|All|All                                      All                  All      6.385466655405147          1.3299190678900175        6.135859215669304          -1.3729429560157769       
