#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3193.463890784369    All      -0.0029816206596341988     0.028707780852954556      0.10328864895535642       0.014931578638264689      
Zeropoint     AB|SDSS|SDSS_i            6654.126630524038    All      1.074933915045838          -0.3912409126659355       0.1032883052536379        -0.4729720944273697       
Zeropoint     AB|SDSS|SDSS_z            7911.201884662592    All      0.13188015569653577        -0.031876672594499667     0.03089829104695588       -0.05196213759531026      
Zeropoint     AB|SDSS|SDSS_g            4199.237834277       All      -1.0306929518406474        0.5605461683641622        -0.45200443522378975      0.498148049700049         
Zeropoint     AB|SDSS|SDSS_r            5487.148515165168    All      0.8253928137169094         0.8409674859738203        0.22257730981086196       0.015005786221823771      
Check         All|All|All               All                  All      0.9985323119590014         1.0071038499305018        0.008048119843022394      0.0031511825374574663     
Lambda        AB|SDSS|SDSS_u            3193.463890784369    All      -4.930884511551373e-06     2.433685507583644e-05     0.00010016024209020489    1.400315724877716e-05     
Lambda        AB|SDSS|SDSS_i            6654.126630524038    All      -0.0005260890687113313     2.5706242738852802e-05    -0.0007634278355286026    0.00014566960846344154    
Lambda        AB|SDSS|SDSS_z            7911.201884662592    All      2.076324855710968e-05      1.6939529624985885e-05    5.6564965402635955e-05    1.2787235596212806e-06    
Lambda        AB|SDSS|SDSS_g            4199.237834277       All      -0.0011195085508043329     0.0006868399652230504     -0.0006985439979663678    0.0005572143284384336     
Lambda        AB|SDSS|SDSS_r            5487.148515165168    All      -1.9349541012101188e-05    0.0005296776353035151     -0.0023688883447207515    7.312360686933984e-05     
MWEBV         All|All|All               All                  All      -0.6320535427175185        -3.5142656144786955       0.1776705226920035        -0.9309026743167338       
Redshift      All|All|All               All                  All      4.050456624019846          -2.563671861480721        3.048646474289998         -2.018392155870631        
