#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3193.463890784369    All      -0.015625372806869264     0.05367128221074324        0.1671715564113163        0.03003229910291949       
Zeropoint     AB|SDSS|SDSS_i            6654.126630524038    All      1.0033124967894986        -0.09128262022652933       0.5186777522000363        -0.3333994348418967       
Zeropoint     AB|SDSS|SDSS_z            7911.201884662592    All      0.09498340569478866       -0.025710720123939268      0.009980072070769896      -0.03886868271825161      
Zeropoint     AB|SDSS|SDSS_g            4199.237834277       All      -1.0277523010833558       0.3736488642939406         -1.0427582759836018       0.40994895165066547       
Zeropoint     AB|SDSS|SDSS_r            5487.148515165168    All      0.9463482898064068        0.6896657709937415         0.3653291314152818        -0.06730697974227096      
Check         All|All|All               All                  All      1.001266518400469         0.9999925771479568         0.01840023611380248       0.0004061534511656806     
Lambda        AB|SDSS|SDSS_u            3193.463890784369    All      1.1271804780060966e-05    -3.913537324913799e-05     1.4983656327938566e-06    -1.635241105456228e-05    
Lambda        AB|SDSS|SDSS_i            6654.126630524038    All      -0.0005117012565682976    -4.7300093081604786e-05    -0.0007029685472414682    0.0001199004796464533     
Lambda        AB|SDSS|SDSS_z            7911.201884662592    All      1.9578771380494546e-05    8.57791518554257e-06       3.0546382221770614e-05    -2.220196036016092e-06    
Lambda        AB|SDSS|SDSS_g            4199.237834277       All      -0.0010353041976264988    0.00044515500231081585     -0.0012675439928200793    0.0004256696002999882     
Lambda        AB|SDSS|SDSS_r            5487.148515165168    All      -7.253329163682575e-05    0.00039957299094986655     -0.0020758813186765907    6.114349899934832e-05     
MWEBV         All|All|All               All                  All      -0.674672826162686        -3.3071125326808115        0.6024544852038294        -0.830587440405603        
Redshift      All|All|All               All                  All      3.7851173407166745        -0.21254297185357984       4.840922126952796         -1.0861413619471405       
