#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4243.917544778336    All      -0.7914989825058338       0.45526072318988753       -0.6045313358300081        0.3791331963149871         
Zeropoint     AB|MEGACAMPSF|g           3327.808695413808    All      -0.29121781935627405      0.09668744929349771       0.039635867091700194       0.12812227441085822        
Zeropoint     AB|MEGACAMPSF|z           5977.227945237846    All      0.8656326558233833        0.04134494211189832       0.09078565058492083        -0.2644462799939254        
Zeropoint     AB|MEGACAMPSF|i           5189.641204138086    All      1.2514985971958832        0.3920132320994085        0.4640949242973952         -0.2592522346800428        
Check         All|All|All               All                  All      1.0344144511571585        0.9853063466946921        -0.010014893855991858      -0.016443043948122904      
Lambda        AB|MEGACAMPSF|r           4243.917544778336    All      -0.0006278590060164065    9.8770441593342e-05       -0.0015684943947939464     0.00016669241547979735     
Lambda        AB|MEGACAMPSF|g           3327.808695413808    All      -0.0005837086301681936    0.00015034215497186236    -0.00020450297587633258    0.00022997846170846854     
Lambda        AB|MEGACAMPSF|z           5977.227945237846    All      -0.0001920596560570018    -1.658957237165869e-05    -6.910365100288381e-05     5.407260048793095e-05      
Lambda        AB|MEGACAMPSF|i           5189.641204138086    All      0.0003069522545401949     -2.004456672724018e-05    -0.0016892265664750288     -0.00018189604588746388    
MWEBV         All|All|All               All                  All      -0.38037460847278726      -2.36590704836086         0.1348428085369946         -0.6407358225141709        
Redshift      All|All|All               All                  All      5.7222246478696945        0.33958912844287426       6.328188377780644          -1.4709034891436066        
