#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4243.917544778336    All      -0.8506373816179051        0.46900015125128647        -0.5896324710128945        0.40353677014346095        
Zeropoint     AB|MEGACAMPSF|g           3327.808695413808    All      -0.36438080247023086       0.12553424087098364        0.09367670326588332        0.16376180836763535        
Zeropoint     AB|MEGACAMPSF|z           5977.227945237846    All      0.9127212481880449         0.027344420961483706       0.03696556647963805        -0.2867467572048374        
Zeropoint     AB|MEGACAMPSF|i           5189.641204138086    All      1.2915701837867095         0.37876101634299886        0.46369132569607696        -0.27663956215744234       
Check         All|All|All               All                  All      0.9892732478866182         1.0006398294267527         0.004701124428703796       0.003912259148816599       
Lambda        AB|MEGACAMPSF|r           4243.917544778336    All      -0.0006042814619126836     0.00011360477338262084     -0.001483680221302826      0.00016762933061134115     
Lambda        AB|MEGACAMPSF|g           3327.808695413808    All      -0.0006792946559151539     0.0001952188041632008      -2.4966323797981776e-05    0.0002837436722208571      
Lambda        AB|MEGACAMPSF|z           5977.227945237846    All      -0.00020653806990689734    -7.309462498879526e-06     -5.7077654216267954e-05    6.234819829980101e-05      
Lambda        AB|MEGACAMPSF|i           5189.641204138086    All      0.00036296908543208435     -3.3972060428482015e-05    -0.0017485533645246645     -0.00020732669602620374    
MWEBV         All|All|All               All                  All      -0.36902871592598574       -2.375310918206708         0.1027435469235368         -0.6489271453915954        
Redshift      All|All|All               All                  All      5.546415507377301          0.1344971941147577         5.138722849636019          -1.533522241974726         
