#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5421.695464733308    All      0.5689049028304708         0.3825117169889758         0.11315512832304137        -0.055664799107895215      
Zeropoint     AB|CNIa02|SDSS_r                      6113.104336874453    All      1.1446948190342694         -0.12076161570329091       -0.09727943425936422       -0.4165419274368382        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4333.707005801027    All      -1.0287667216943608        0.6999480139677772         -0.12623377705476596       0.5574660287314772         
Zeropoint     AB|CNIa02|SDSS_i                      7413.207470281833    All      0.459657537820506          -0.09675308845684683       0.1080653605195052         -0.17641878563067773       
Zeropoint     AB|CNIa02|SDSS_g                      4678.273049351446    All      -0.1463101767143852        0.1327691120457608         0.003140070369655139       0.09104543270384           
Check         All|All|All                           All                  All      0.9981803612765002         0.997714138842376          0.0008473478980715226      -0.00011405074009396277    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5421.695464733308    All      1.5587328401692787e-05     -3.2992703235930804e-05    -0.0008108599661410571     -5.2009070683696556e-05    
Lambda        AB|CNIa02|SDSS_r                      6113.104336874453    All      -0.00011255978629860034    -5.618527180936445e-05     -0.0006352686699541468     -9.986089021003983e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4333.707005801027    All      -0.00038719823556626127    0.00015561377793428508     -0.00044984054672764006    0.00015673741322438426     
Lambda        AB|CNIa02|SDSS_i                      7413.207470281833    All      -6.955387638084322e-05     -2.733605797997006e-05     -0.00034512859894694845    -1.649771874546834e-06     
Lambda        AB|CNIa02|SDSS_g                      4678.273049351446    All      -4.743769183390456e-05     2.6684935452543048e-05     -6.203056138544934e-05     2.1376039210632262e-05     
MWEBV         All|All|All                           All                  All      -0.8923715950320523        -4.053887731022154         0.009829349232698558       -1.0293711775717338        
Redshift      All|All|All                           All                  All      5.248275594733197          -0.2929877409775905        3.0749377092424126         -1.6677514233044226        
