#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5421.695464733308    All      0.4880837952517839         0.451964387435666          -0.05280048231339762       -0.014121522440734002      
Zeropoint     AB|CNIa02|SDSS_r                      6113.104336874453    All      1.0196508632786452         -0.09778222134713133       -0.026146202959909104      -0.3651515030720795        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4333.707005801027    All      -0.9731845547585548        0.7059320511836553         -0.0953090424258729        0.5426903150260148         
Zeropoint     AB|CNIa02|SDSS_i                      7413.207470281833    All      0.5135638362482982         -0.10521926277373694       0.18687298400235086        -0.1932187297113072        
Zeropoint     AB|CNIa02|SDSS_g                      4678.273049351446    All      -0.056426597765966605      0.048695098757089994       -0.0025054509329436314     0.034129788190633004       
Check         All|All|All                           All                  All      0.9916873422542061         1.003590053255543          0.0101118053702276         0.004328347992527126       
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5421.695464733308    All      -6.63755600620727e-05      6.263821517479372e-05      -0.0007096132373668135     1.0357251373815298e-05     
Lambda        AB|CNIa02|SDSS_r                      6113.104336874453    All      0.00019574638796208998     -3.246096484337255e-05     1.4257193672442068e-05     -7.369840953496352e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4333.707005801027    All      -0.00041286046371472377    0.0001772815120095601      -0.0005312384367312231     0.0001685219250462887      
Lambda        AB|CNIa02|SDSS_i                      7413.207470281833    All      -4.147706042685105e-06     -2.3529544470811272e-05    -0.00018419320896457725    -1.4532999366864252e-05    
Lambda        AB|CNIa02|SDSS_g                      4678.273049351446    All      -1.05834714013588e-05      7.635595468768595e-06      -2.006058602138394e-05     5.039337649901562e-06      
MWEBV         All|All|All                           All                  All      -0.8759514008806852        -4.056214626437349         0.029092871207581084       -1.0346180788929071        
Redshift      All|All|All                           All                  All      4.883585884522931          -1.1167997217008896        2.3138409123131254         -1.8512669059403657        
